ISO3,year,value,lower_uncertainty,upper_uncertainty,id
DZA,1970,0.9666428565979,0.889526546001434,1.0,12
EGY,1970,1.0,0.95238596200943,1.0,818
ESH,1970,0.925709784030914,0.913326323032379,0.950631678104401,732
LBY,1970,1.0,0.95314610004425,1.0,434
MAR,1970,0.806017398834229,0.773610532283783,0.91101610660553,504
SDN,1970,0.804360032081604,0.769137501716614,0.931164026260376,729
TUN,1970,0.771066009998322,0.709798097610474,0.873321950435638,788
BEN,1970,0.992076992988586,0.919087469577789,1.0,204
BFA,1970,0.943248569965363,0.892262518405914,1.0,854
CIV,1970,0.671387374401093,0.639272928237915,0.744058191776276,384
CPV,1970,1.0,0.971261858940125,1.0,132
GHA,1970,0.722684264183044,0.683941781520844,0.80351585149765,288
GIN,1970,0.604326844215393,0.571546077728271,0.690905809402466,324
GMB,1970,0.751957595348358,0.706927061080933,0.856818377971649,270
GNB,1970,0.715535283088684,0.682485938072205,0.77411025762558,624
LBR,1970,0.766747415065765,0.746043264865875,0.797492861747742,430
MLI,1970,0.912322700023651,0.880727291107178,0.956562757492065,466
MRT,1970,0.846238791942596,0.818155646324158,0.899513363838196,478
NER,1970,0.910323441028595,0.866950631141663,0.957863211631775,562
NGA,1970,0.516928732395172,0.486212551593781,0.713765442371368,566
SEN,1970,0.829121947288513,0.782848536968231,0.924578368663788,686
SHN,1970,,,,654
SLE,1970,0.752332031726837,0.721286773681641,0.796701669692993,694
TGO,1970,0.694474816322327,0.65559858083725,0.787181556224823,768
ATF,1970,,,,260
BDI,1970,0.548238813877106,0.521045446395874,0.655945837497711,108
COM,1970,0.87382560968399,0.834316432476044,1.0,174
DJI,1970,0.830896735191345,0.780769824981689,0.93234646320343,262
ERI,1970,0.623231112957001,0.566872119903564,0.811902582645416,232
ETH,1970,0.791537463665009,0.76695442199707,0.873130679130554,231
IOT,1970,,,,86
KEN,1970,0.782936036586761,0.748100876808167,0.889500498771667,404
MDG,1970,0.647623419761658,0.609380304813385,0.740279674530029,450
MOZ,1970,0.702165961265564,0.660739421844482,0.832896590232849,508
MUS,1970,0.505021214485168,0.441500455141068,0.744381844997406,480
MWI,1970,0.826385796070099,0.784760177135468,0.87782233953476,454
MYT,1970,1.0,0.996122360229492,1.0,175
REU,1970,0.93504935503006,0.910440027713776,0.986355304718018,638
RWA,1970,0.648667395114899,0.615775227546692,0.734921753406525,646
SOM,1970,0.712282001972198,0.6625155210495,0.868027687072754,706
SSD,1970,0.730611145496368,0.689519584178925,0.878306746482849,728
SYC,1970,,,,690
TZA,1970,0.882643043994904,0.852314591407776,0.932188153266907,834
UGA,1970,0.737903594970703,0.702874064445496,0.808416306972504,800
ZMB,1970,0.900304913520813,0.871116638183594,0.936529517173767,894
ZWE,1970,0.946389853954315,0.916941821575165,0.979985892772675,716
AGO,1970,0.763442695140839,0.731040775775909,0.846717238426208,24
CAF,1970,0.939714550971985,0.93019300699234,0.956932485103607,140
CMR,1970,0.873527348041534,0.857044756412506,0.899557590484619,120
COD,1970,0.937349498271942,0.919836759567261,0.953879714012146,180
COG,1970,0.743001222610474,0.716545164585114,0.791326105594635,178
