id,year,value
4,2000,0.0
8,2000,18.00863
12,2000,15.38756
16,2000,71.11084
20,2000,14.66758
24,2000,28.05396
660,2000,18.57023
28,2000,1.31291
32,2000,23.19357
51,2000,12.53862
533,2000,37.14634
36,2000,33.95813
40,2000,55.4564
31,2000,21.56185
44,2000,7.0194
48,2000,0.0
50,2000,31.75363
52,2000,1.75387
112,2000,67.26152
56,2000,61.36902
84,2000,40.05534
204,2000,66.6644
60,2000,51.9841
64,2000,42.59264
68,2000,41.86122
535,2000,39.26911
70,2000,10.69048
72,2000,51.08779
76,2000,33.30656
86,2000,99.96581
92,2000,7.36553
96,2000,41.65676
100,2000,12.40751
854,2000,63.33708
108,2000,56.83178
132,2000,0.0
116,2000,23.59174
120,2000,25.23752
124,2000,19.10487
136,2000,31.62031
140,2000,74.23696
148,2000,67.31274
152,2000,23.20578
156,2000,3.16449
344,2000,48.92564
446,2000,0.0
162,2000,62.8686
166,2000,100.0
170,2000,23.93816
174,2000,0.0
178,2000,46.38206
184,2000,24.36003
188,2000,40.49873
384,2000,73.77738
191,2000,22.12164
192,2000,2.34929
531,2000,6.06859
196,2000,4.6202
203,2000,48.24516
408,2000,0.0
180,2000,43.35205
208,2000,86.18878
262,2000,0.0
212,2000,33.33443
214,2000,8.56815
218,2000,16.98953
818,2000,31.24994
222,2000,0.84186
226,2000,99.99711
232,2000,0.0
233,2000,8.71819
748,2000,20.87828
231,2000,12.37953
238,2000,17.62624
234,2000,0.0
242,2000,4.38926
246,2000,60.2656
250,2000,29.14539
254,2000,54.6362
258,2000,0.0
260,2000,0.0
266,2000,11.39471
270,2000,35.42831
268,2000,21.25394
276,2000,47.8406
288,2000,66.61788
292,2000,0.0
300,2000,27.00328
304,2000,26.0812
308,2000,34.45032
312,2000,49.16672
316,2000,2.35377
320,2000,21.00078
324,2000,67.12621
624,2000,29.23173
332,2000,14.73226
334,2000,100.0
340,2000,64.2284
348,2000,45.5588
352,2000,13.00023
356,2000,1.43005
360,2000,10.76565
364,2000,39.37989
368,2000,0.0
372,2000,52.33631
376,2000,8.36259
380,2000,42.91923
388,2000,15.66294
392,2000,44.55168
400,2000,6.1966
398,2000,8.94302
404,2000,32.41271
296,2000,0.0
414,2000,30.9167
417,2000,23.60219
418,2000,31.58297
428,2000,59.38894
422,2000,4.36915
426,2000,16.48896
430,2000,5.0
434,2000,0.0
438,2000,80.80096
440,2000,34.49494
442,2000,43.26849
450,2000,17.52999
454,2000,70.77224
458,2000,22.69634
462,2000,0.0
466,2000,5.99996
470,2000,75.38075
584,2000,0.0
474,2000,53.19081
478,2000,11.17224
480,2000,8.47068
175,2000,10.68073
484,2000,17.25518
583,2000,0.02395
496,2000,36.25769
499,2000,17.65622
500,2000,0.0
504,2000,23.07629
508,2000,20.60158
104,2000,10.67339
516,2000,31.1976
520,2000,0.0
524,2000,40.2975
528,2000,63.26955
540,2000,5.31214
554,2000,41.71138
558,2000,57.68478
562,2000,11.67984
566,2000,61.98109
570,2000,95.27693
574,2000,55.48671
