,B24031_001E,B24031_002E,B24031_003E,B24031_004E,B24031_005E,B24031_006E,B24031_007E,B24031_008E,B24031_009E,B24031_010E,B24031_011E,B24031_012E,B24031_013E,B24031_014E,B24031_015E,B24031_016E,B24031_017E,B24031_018E,B24031_019E,B24031_020E,B24031_021E,B24031_022E,B24031_023E,B24031_024E,B24031_025E,B24031_026E,B24031_027E,state,county
0,34148.0,28750.0,26250.0,74643.0,40313.0,22083.0,18750.0,24609.0,32361.0,31806.0,105000.0,26250.0,71250.0,69375.0,-666666666.0,37419.0,45625.0,-666666666.0,16250.0,40962.0,55000.0,32500.0,20625.0,60625.0,17500.0,43750.0,61667.0,02,195
1,22562.0,94375.0,12917.0,123681.0,25556.0,37466.0,-666666666.0,12273.0,18870.0,19031.0,18333.0,21667.0,22500.0,-666666666.0,26250.0,16250.0,-666666666.0,-666666666.0,12083.0,26117.0,27083.0,23289.0,6979.0,5625.0,24219.0,8750.0,20556.0,02,158
2,36531.0,33680.0,27838.0,64502.0,37268.0,51621.0,46553.0,25877.0,42886.0,40234.0,71632.0,44853.0,50385.0,52056.0,43129.0,39101.0,60737.0,60540.0,25550.0,37882.0,37362.0,38489.0,18524.0,24248.0,17287.0,25239.0,53295.0,04,013
3,31445.0,59949.0,31200.0,62694.0,31126.0,25822.0,29821.0,23089.0,31783.0,31250.0,32266.0,28561.0,36230.0,36582.0,34167.0,31563.0,41750.0,61875.0,26406.0,31306.0,34563.0,30619.0,12118.0,17898.0,11574.0,26622.0,41527.0,04,009
4,26688.0,21302.0,14667.0,59167.0,28793.0,40820.0,29936.0,19872.0,32183.0,31863.0,41210.0,46250.0,30260.0,32000.0,29766.0,25152.0,28646.0,-666666666.0,14480.0,29167.0,31898.0,26941.0,14751.0,24974.0,13617.0,20477.0,38977.0,04,023
5,24546.0,21899.0,21635.0,31250.0,37903.0,30134.0,85417.0,21830.0,20357.0,20218.0,24250.0,42167.0,36250.0,23906.0,40417.0,24697.0,58681.0,-666666666.0,23390.0,31786.0,33083.0,31536.0,15749.0,21548.0,14963.0,21540.0,45109.0,04,012
6,28753.0,40886.0,38162.0,48884.0,31330.0,37972.0,36864.0,21876.0,48041.0,44566.0,58750.0,42862.0,32300.0,32992.0,31653.0,29531.0,38272.0,32417.0,24745.0,32039.0,31099.0,32739.0,19447.0,23455.0,17734.0,21476.0,44951.0,04,015
7,30324.0,38778.0,36713.0,67813.0,33398.0,47493.0,41420.0,19738.0,48461.0,45386.0,65417.0,17177.0,42804.0,57831.0,32131.0,32924.0,42109.0,60250.0,23943.0,36063.0,31989.0,39492.0,17465.0,21828.0,16837.0,25163.0,44554.0,04,005
8,30178.0,57182.0,28676.0,72719.0,35552.0,40994.0,37423.0,21597.0,41576.0,40594.0,51899.0,24659.0,39048.0,43404.0,35668.0,30162.0,38125.0,-666666666.0,24684.0,31181.0,28858.0,31952.0,19636.0,23661.0,19092.0,22298.0,51755.0,04,025
9,40801.0,63533.0,40281.0,64397.0,36071.0,28906.0,72708.0,20938.0,36944.0,37212.0,-666666666.0,15500.0,33292.0,33875.0,21957.0,17352.0,102500.0,-666666666.0,16885.0,32361.0,32357.0,32365.0,15781.0,16458.0,15556.0,31250.0,29423.0,04,011
10,33632.0,35555.0,27267.0,62636.0,40841.0,46033.0,43778.0,25948.0,45173.0,38863.0,76521.0,41893.0,46096.0,48780.0,32694.0,32761.0,52114.0,40914.0,25520.0,32332.0,32396.0,32309.0,16945.0,21259.0,15757.0,21933.0,50130.0,04,021
11,26541.0,26764.0,26663.0,76250.0,26549.0,35273.0,2499.0,17424.0,40357.0,42024.0,26700.0,-666666666.0,25417.0,24083.0,30536.0,33993.0,41875.0,-666666666.0,33264.0,26141.0,35611.0,23555.0,2499.0,-666666666.0,2499.0,25966.0,27071.0,05,099
12,31560.0,30076.0,29792.0,-666666666.0,34500.0,30335.0,35388.0,30099.0,42837.0,43661.0,39318.0,74712.0,32000.0,28693.0,51047.0,37639.0,51250.0,-666666666.0,22768.0,32717.0,44583.0,27209.0,15104.0,34091.0,13778.0,22440.0,41250.0,05,037
13,26324.0,27232.0,27232.0,-666666666.0,26211.0,31919.0,-666666666.0,17256.0,28220.0,29811.0,20114.0,-666666666.0,25750.0,21953.0,-666666666.0,36250.0,35542.0,-666666666.0,85164.0,23891.0,27045.0,22063.0,11212.0,53125.0,10644.0,15313.0,28500.0,05,039
14,28806.0,54313.0,32027.0,59324.0,33542.0,43621.0,22319.0,17158.0,53850.0,53325.0,66094.0,68869.0,29961.0,48625.0,14926.0,30000.0,21250.0,-666666666.0,30284.0,28353.0,29692.0,27083.0,11250.0,6500.0,11344.0,17586.0,39349.0,05,027
15,37443.0,24554.0,16875.0,32155.0,33027.0,46664.0,44563.0,26192.0,53117.0,50504.0,69036.0,48024.0,41798.0,43053.0,40746.0,39042.0,50979.0,110551.0,25964.0,41594.0,45885.0,40391.0,12824.0,12716.0,12857.0,24660.0,45451.0,05,125
16,26655.0,35469.0,21005.0,66324.0,24278.0,43409.0,33080.0,20112.0,50536.0,51148.0,48235.0,-666666666.0,30956.0,37321.0,12833.0,23438.0,22212.0,-666666666.0,22813.0,27424.0,19599.0,29828.0,12719.0,15268.0,12131.0,18295.0,30427.0,05,141
17,27666.0,19750.0,18813.0,66875.0,32478.0,28867.0,28778.0,20548.0,49417.0,49472.0,-666666666.0,30139.0,30972.0,40000.0,28512.0,28981.0,34135.0,-666666666.0,28673.0,25904.0,32237.0,22120.0,13824.0,16250.0,12422.0,27000.0,29779.0,05,065
18,29794.0,27955.0,24444.0,40865.0,30750.0,33516.0,34331.0,20719.0,53837.0,44551.0,88387.0,41222.0,50839.0,51441.0,40139.0,17010.0,31667.0,-666666666.0,16314.0,33607.0,36004.0,30857.0,12871.0,33214.0,12441.0,24067.0,31584.0,05,063
19,27716.0,34271.0,31195.0,52500.0,35439.0,27783.0,42218.0,23734.0,45778.0,45611.0,54000.0,42381.0,32333.0,30809.0,33984.0,22163.0,37458.0,-666666666.0,16477.0,28859.0,36685.0,26173.0,9122.0,21417.0,8547.0,17368.0,26622.0,05,083
