,AllIndustries,AgricultureForestryFishingAndHunting,MiningQuarryingAndOilAndGasExtraction,Construction,HealthCareAndSocialAssistance,STATEFP,COUNTYFP
0,24522,0.52,0.35,6.07,11.27,01,001
1,95091,0.95,0.26,8.59,12.6,01,003
2,8413,5.72,0.0,6.81,9.44,01,005
3,8387,1.97,1.9,9.85,13.69,01,007
4,21917,1.45,0.63,9.72,14.4,01,009
5,4319,4.91,0.0,5.14,5.26,01,011
6,7930,2.5,0.08,3.95,12.5,01,013
7,47896,1.06,0.35,5.69,12.54,01,015
8,14877,1.25,0.19,4.29,11.47,01,017
9,9980,3.44,0.0,7.58,16.25,01,019
10,17526,1.59,0.9,14.49,10.16,01,021
11,4173,6.09,3.43,8.7,13.01,01,023
12,7770,2.84,0.72,8.39,13.24,01,025
13,5527,2.89,0.0,6.26,11.34,01,027
14,5707,4.31,0.0,12.53,11.0,01,029
15,21907,2.96,0.41,5.27,14.66,01,031
16,22832,0.99,0.18,7.15,14.86,01,033
17,4232,5.25,0.45,5.55,9.29,01,035
18,4202,0.31,0.83,10.4,16.18,01,037
19,14822,3.49,2.52,7.46,12.2,01,039
20,5668,5.05,0.48,7.73,10.37,01,041
21,34228,1.86,0.17,10.19,15.17,01,043
22,17994,1.66,0.39,7.02,11.15,01,045
23,14347,1.53,0.22,5.83,12.3,01,047
24,29639,2.68,0.03,6.93,12.12,01,049
25,34180,0.94,0.3,6.67,13.25,01,051
26,12786,1.78,0.38,7.48,13.59,01,053
27,42650,0.44,0.08,5.97,15.2,01,055
28,6337,1.7,1.14,4.62,16.43,01,057
29,12840,1.78,0.21,8.77,7.96,01,059
30,10294,3.86,0.59,8.73,15.52,01,061
31,2396,2.88,0.0,8.39,11.77,01,063
32,5355,4.05,0.15,6.67,13.46,01,065
33,6920,4.62,0.23,3.97,14.67,01,067
34,44374,1.42,0.05,5.71,17.5,01,069
35,20352,1.24,0.1,8.0,11.13,01,071
36,304994,0.15,0.46,4.99,16.74,01,073
37,5244,2.63,0.84,7.15,12.43,01,075
38,40287,0.77,0.09,6.76,13.22,01,077
39,12445,1.92,0.1,7.83,11.24,01,079
40,74770,0.33,0.18,5.39,11.35,01,081
41,40510,0.89,0.1,8.3,10.22,01,083
42,3430,4.61,0.79,6.59,11.9,01,085
