deaths_0-5_circ,deaths_25+_circ,deaths_5-25_circ,Population_0-5,Population_25+,Population_5-25,STATEFP,COUNTYFP,mort_0-5_circ,mort_5-25_circ,mort_25+_circ,deaths_0-5_resp,deaths_25+_resp,deaths_5-25_resp,mort_0-5_resp,mort_5-25_resp,mort_25+_resp,deaths_0-5_all,deaths_25+_all,deaths_5-25_all,mort_0-5_all,mort_5-25_all,mort_25+_all,deaths_0-5_circ_est,deaths_25+_circ_est,deaths_5-25_circ_est,mort_0-5_circ_est,mort_5-25_circ_est,mort_25+_circ_est,deaths_0-5_resp_est,deaths_25+_resp_est,deaths_5-25_resp_est,mort_0-5_resp_est,mort_5-25_resp_est,mort_25+_resp_est,deaths_0-5_all_est,deaths_25+_all_est,deaths_5-25_all_est,mort_0-5_all_est,mort_5-25_all_est,mort_25+_all_est
,157.0,,3191.0,37332.0,14893.0,1,1,,,0.004206,,46.0,,,,0.001232,,510.0,,,,0.013661,,157.0,,,,0.004206,,46.0,,,,0.001232,,510.0,,,,0.013661
,631.0,,11660.0,147731.0,49172.0,1,3,,,0.004271,,173.0,,,,0.001171,11.0,1933.0,23.0,0.000943,0.000468,0.013085,,631.0,,,,0.004271,,173.0,,,,0.001171,11.0,1933.0,23.0,0.000943,0.000468,0.013085
,81.0,,1352.0,18326.0,6287.0,1,5,,,0.00442,,,,,,,,235.0,,,,0.012823,,81.0,,,,0.00442,,,,,,,,235.0,,,,0.012823
,73.0,,1274.0,16121.0,5248.0,1,7,,,0.004528,,13.0,,,,0.000806,,224.0,,,,0.013895,,73.0,,,,0.004528,,13.0,,,,0.000806,,224.0,,,,0.013895
,184.0,,3353.0,39867.0,14484.0,1,9,,,0.004615,,103.0,,,,0.002584,,675.0,,,,0.016931,,184.0,,,,0.004615,,103.0,,,,0.002584,,675.0,,,,0.016931
,10.0,,602.0,7276.0,2484.0,1,11,,,0.001374,,,,,,,,112.0,,,,0.015393,,10.0,,,,0.001374,,,,,,,,112.0,,,,0.015393
,95.0,,1195.0,13679.0,5124.0,1,13,,,0.006945,,,,,,,,249.0,,,,0.018203,,95.0,,,,0.006945,,,,,,,,249.0,,,,0.018203
,516.0,,6420.0,79198.0,28993.0,1,15,,,0.006515,,154.0,,,,0.001944,17.0,1366.0,13.0,0.002648,0.000448,0.017248,,516.0,,,,0.006515,,154.0,,,,0.001944,17.0,1366.0,13.0,0.002648,0.000448,0.017248
,131.0,,2048.0,23842.0,7953.0,1,17,,,0.005495,,16.0,,,,0.000671,,444.0,,,,0.018623,,131.0,,,,0.005495,,16.0,,,,0.000671,,444.0,,,,0.018623
,100.0,,1185.0,18814.0,5726.0,1,19,,,0.005315,,13.0,,,,0.000691,,345.0,,,,0.018337,,100.0,,,,0.005315,,13.0,,,,0.000691,,345.0,,,,0.018337
,181.0,,2785.0,29880.0,11276.0,1,21,,,0.006058,,61.0,,,,0.002041,,461.0,,,,0.015428,,181.0,,,,0.006058,,61.0,,,,0.002041,,461.0,,,,0.015428
,69.0,,665.0,9356.0,2972.0,1,23,,,0.007375,,,,,,,,164.0,,,,0.017529,,69.0,,,,0.007375,,,,,,,,164.0,,,,0.017529
,107.0,,1398.0,16881.0,6113.0,1,25,,,0.006338,,14.0,,,,0.000829,,294.0,,,,0.017416,,107.0,,,,0.006338,,14.0,,,,0.000829,,294.0,,,,0.017416
,60.0,,725.0,9602.0,3165.0,1,27,,,0.006249,,,,,,,,168.0,,,,0.017496,,60.0,,,,0.006249,,,,,,,,168.0,,,,0.017496
,62.0,,883.0,10386.0,3655.0,1,29,,,0.00597,,,,,,,,175.0,,,,0.01685,,62.0,,,,0.00597,,,,,,,,175.0,,,,0.01685
,167.0,,3132.0,34874.0,13220.0,1,31,,,0.004789,,47.0,,,,0.001348,,495.0,,,,0.014194,,167.0,,,,0.004789,,47.0,,,,0.001348,,495.0,,,,0.014194
