STATEFP,proportion_homeless_2019,COUNTYFP
02,0.002607,013
02,0.002607,016
02,0.002607,020
02,0.002607,050
02,0.002607,060
02,0.002607,068
02,0.002607,070
02,0.002607,090
02,0.002607,100
02,0.002607,105
02,0.002607,110
02,0.002607,122
02,0.002607,130
02,0.002607,150
02,0.002607,158
02,0.002607,164
02,0.002607,170
02,0.002607,180
02,0.002607,185
02,0.002607,188
02,0.002607,195
02,0.002607,198
02,0.002607,220
02,0.002607,230
02,0.002607,240
02,0.002607,261
02,0.002607,275
02,0.002607,282
02,0.002607,290
01,0.000665,001
01,0.000665,003
01,0.000665,005
01,0.000665,007
01,0.000665,009
01,0.000665,011
01,0.000665,013
01,0.000665,015
01,0.000665,017
01,0.000665,019
01,0.000665,021
01,0.000665,023
01,0.000665,025
01,0.000665,027
01,0.000665,029
01,0.000665,031
01,0.000665,033
01,0.000665,035
01,0.000665,037
01,0.000665,039
01,0.000665,041
01,0.000665,043
01,0.000665,045
01,0.000665,047
01,0.000665,049
01,0.000665,051
01,0.000665,053
01,0.000665,055
01,0.000665,057
01,0.000665,059
01,0.000665,061
01,0.000665,063
01,0.000665,065
01,0.000665,067
01,0.000665,069
01,0.000665,071
01,0.000665,073
01,0.000665,075
01,0.000665,077
01,0.000665,079
01,0.000665,081
01,0.000665,083
01,0.000665,085
01,0.000665,087
01,0.000665,089
01,0.000665,091
01,0.000665,093
01,0.000665,095
01,0.000665,097
01,0.000665,099
01,0.000665,101
01,0.000665,103
01,0.000665,105
01,0.000665,107
01,0.000665,109
01,0.000665,111
01,0.000665,113
01,0.000665,115
01,0.000665,117
01,0.000665,119
01,0.000665,121
01,0.000665,123
01,0.000665,125
01,0.000665,127
01,0.000665,129
01,0.000665,131
01,0.000665,133
05,0.0009,001
05,0.0009,003
05,0.0009,005
05,0.0009,007
05,0.0009,009
05,0.0009,011
05,0.0009,013
05,0.0009,015
05,0.0009,017
05,0.0009,019
05,0.0009,021
05,0.0009,023
05,0.0009,025
05,0.0009,027
05,0.0009,029
05,0.0009,031
05,0.0009,033
05,0.0009,035
05,0.0009,037
05,0.0009,039
05,0.0009,041
05,0.0009,043
05,0.0009,045
05,0.0009,047
05,0.0009,049
05,0.0009,051
05,0.0009,053
05,0.0009,055
05,0.0009,057
05,0.0009,059
05,0.0009,061
05,0.0009,063
05,0.0009,065
05,0.0009,067
05,0.0009,069
05,0.0009,071
05,0.0009,073
05,0.0009,075
05,0.0009,077
05,0.0009,079
05,0.0009,081
05,0.0009,083
05,0.0009,085
05,0.0009,087
05,0.0009,089
05,0.0009,091
05,0.0009,093
