TotalEnergyExpendituremilliondollars,Totalenergyexpenditurepercapitadollarspercapita,TotalResidentialEnergyExpendituremilliondollars,ResidentialEnergyExpenditurepercapitadollarspercapita,TotalTransportationEnergyExpendituremildollars,TransportationEnergyExpenditurepercapitadollars,STATEFP,COUNTYFP
5925.4,8060.3,816,1110.0,3571,4857.62,01,001
5925.4,8060.3,816,1110.0,3571,4857.62,01,003
5925.4,8060.3,816,1110.0,3571,4857.62,01,005
5925.4,8060.3,816,1110.0,3571,4857.62,01,007
5925.4,8060.3,816,1110.0,3571,4857.62,01,009
5925.4,8060.3,816,1110.0,3571,4857.62,01,011
5925.4,8060.3,816,1110.0,3571,4857.62,01,013
5925.4,8060.3,816,1110.0,3571,4857.62,01,015
5925.4,8060.3,816,1110.0,3571,4857.62,01,017
5925.4,8060.3,816,1110.0,3571,4857.62,01,019
5925.4,8060.3,816,1110.0,3571,4857.62,01,021
5925.4,8060.3,816,1110.0,3571,4857.62,01,023
5925.4,8060.3,816,1110.0,3571,4857.62,01,025
5925.4,8060.3,816,1110.0,3571,4857.62,01,027
5925.4,8060.3,816,1110.0,3571,4857.62,01,029
5925.4,8060.3,816,1110.0,3571,4857.62,01,031
5925.4,8060.3,816,1110.0,3571,4857.62,01,033
5925.4,8060.3,816,1110.0,3571,4857.62,01,035
5925.4,8060.3,816,1110.0,3571,4857.62,01,037
5925.4,8060.3,816,1110.0,3571,4857.62,01,039
5925.4,8060.3,816,1110.0,3571,4857.62,01,041
5925.4,8060.3,816,1110.0,3571,4857.62,01,043
5925.4,8060.3,816,1110.0,3571,4857.62,01,045
5925.4,8060.3,816,1110.0,3571,4857.62,01,047
5925.4,8060.3,816,1110.0,3571,4857.62,01,049
5925.4,8060.3,816,1110.0,3571,4857.62,01,051
5925.4,8060.3,816,1110.0,3571,4857.62,01,053
5925.4,8060.3,816,1110.0,3571,4857.62,01,055
5925.4,8060.3,816,1110.0,3571,4857.62,01,057
5925.4,8060.3,816,1110.0,3571,4857.62,01,059
5925.4,8060.3,816,1110.0,3571,4857.62,01,061
5925.4,8060.3,816,1110.0,3571,4857.62,01,063
5925.4,8060.3,816,1110.0,3571,4857.62,01,065
5925.4,8060.3,816,1110.0,3571,4857.62,01,067
5925.4,8060.3,816,1110.0,3571,4857.62,01,069
5925.4,8060.3,816,1110.0,3571,4857.62,01,071
5925.4,8060.3,816,1110.0,3571,4857.62,01,073
5925.4,8060.3,816,1110.0,3571,4857.62,01,075
5925.4,8060.3,816,1110.0,3571,4857.62,01,077
5925.4,8060.3,816,1110.0,3571,4857.62,01,079
5925.4,8060.3,816,1110.0,3571,4857.62,01,081
5925.4,8060.3,816,1110.0,3571,4857.62,01,083
5925.4,8060.3,816,1110.0,3571,4857.62,01,085
5925.4,8060.3,816,1110.0,3571,4857.62,01,087
5925.4,8060.3,816,1110.0,3571,4857.62,01,089
5925.4,8060.3,816,1110.0,3571,4857.62,01,091
5925.4,8060.3,816,1110.0,3571,4857.62,01,093
5925.4,8060.3,816,1110.0,3571,4857.62,01,095
5925.4,8060.3,816,1110.0,3571,4857.62,01,097
5925.4,8060.3,816,1110.0,3571,4857.62,01,099
5925.4,8060.3,816,1110.0,3571,4857.62,01,101
5925.4,8060.3,816,1110.0,3571,4857.62,01,103
5925.4,8060.3,816,1110.0,3571,4857.62,01,105
5925.4,8060.3,816,1110.0,3571,4857.62,01,107
5925.4,8060.3,816,1110.0,3571,4857.62,01,109
5925.4,8060.3,816,1110.0,3571,4857.62,01,111
5925.4,8060.3,816,1110.0,3571,4857.62,01,113
5925.4,8060.3,816,1110.0,3571,4857.62,01,115
5925.4,8060.3,816,1110.0,3571,4857.62,01,117
5925.4,8060.3,816,1110.0,3571,4857.62,01,119
5925.4,8060.3,816,1110.0,3571,4857.62,01,121
5925.4,8060.3,816,1110.0,3571,4857.62,01,123
5925.4,8060.3,816,1110.0,3571,4857.62,01,125
5925.4,8060.3,816,1110.0,3571,4857.62,01,127
5925.4,8060.3,816,1110.0,3571,4857.62,01,129
5925.4,8060.3,816,1110.0,3571,4857.62,01,131
5925.4,8060.3,816,1110.0,3571,4857.62,01,133
21951.8,4491.2,4720,965.68,9629,1970.03,02,013
21951.8,4491.2,4720,965.68,9629,1970.03,02,016
21951.8,4491.2,4720,965.68,9629,1970.03,02,020
21951.8,4491.2,4720,965.68,9629,1970.03,02,050
21951.8,4491.2,4720,965.68,9629,1970.03,02,060
21951.8,4491.2,4720,965.68,9629,1970.03,02,068
21951.8,4491.2,4720,965.68,9629,1970.03,02,070
21951.8,4491.2,4720,965.68,9629,1970.03,02,090
21951.8,4491.2,4720,965.68,9629,1970.03,02,100
21951.8,4491.2,4720,965.68,9629,1970.03,02,105
21951.8,4491.2,4720,965.68,9629,1970.03,02,110
21951.8,4491.2,4720,965.68,9629,1970.03,02,122
21951.8,4491.2,4720,965.68,9629,1970.03,02,130
21951.8,4491.2,4720,965.68,9629,1970.03,02,150
21951.8,4491.2,4720,965.68,9629,1970.03,02,158
21951.8,4491.2,4720,965.68,9629,1970.03,02,164
21951.8,4491.2,4720,965.68,9629,1970.03,02,170
21951.8,4491.2,4720,965.68,9629,1970.03,02,180
21951.8,4491.2,4720,965.68,9629,1970.03,02,185
21951.8,4491.2,4720,965.68,9629,1970.03,02,188
21951.8,4491.2,4720,965.68,9629,1970.03,02,195
21951.8,4491.2,4720,965.68,9629,1970.03,02,198
21951.8,4491.2,4720,965.68,9629,1970.03,02,220
21951.8,4491.2,4720,965.68,9629,1970.03,02,230
21951.8,4491.2,4720,965.68,9629,1970.03,02,240
21951.8,4491.2,4720,965.68,9629,1970.03,02,261
21951.8,4491.2,4720,965.68,9629,1970.03,02,275
21951.8,4491.2,4720,965.68,9629,1970.03,02,282
21951.8,4491.2,4720,965.68,9629,1970.03,02,290
22824.7,3188.7,5140,718.08,11748,1641.24,04,001
22824.7,3188.7,5140,718.08,11748,1641.24,04,003
22824.7,3188.7,5140,718.08,11748,1641.24,04,005
22824.7,3188.7,5140,718.08,11748,1641.24,04,007
22824.7,3188.7,5140,718.08,11748,1641.24,04,009
22824.7,3188.7,5140,718.08,11748,1641.24,04,011
22824.7,3188.7,5140,718.08,11748,1641.24,04,012
22824.7,3188.7,5140,718.08,11748,1641.24,04,013
22824.7,3188.7,5140,718.08,11748,1641.24,04,015
22824.7,3188.7,5140,718.08,11748,1641.24,04,017
22824.7,3188.7,5140,718.08,11748,1641.24,04,019
22824.7,3188.7,5140,718.08,11748,1641.24,04,021
22824.7,3188.7,5140,718.08,11748,1641.24,04,023
22824.7,3188.7,5140,718.08,11748,1641.24,04,025
22824.7,3188.7,5140,718.08,11748,1641.24,04,027
138992.4,3522.2,22860,579.29,77790,1971.27,05,001
138992.4,3522.2,22860,579.29,77790,1971.27,05,003
138992.4,3522.2,22860,579.29,77790,1971.27,05,005
138992.4,3522.2,22860,579.29,77790,1971.27,05,007
138992.4,3522.2,22860,579.29,77790,1971.27,05,009
138992.4,3522.2,22860,579.29,77790,1971.27,05,011
138992.4,3522.2,22860,579.29,77790,1971.27,05,013
138992.4,3522.2,22860,579.29,77790,1971.27,05,015
138992.4,3522.2,22860,579.29,77790,1971.27,05,017
