stateID,countyID,RenewablesEmployment,RenewablesEmploymentPCTEmp,FossilEmployment,FossilEmploymentPCTEmp,EfficiencyEmployment,EfficiencyEmploymentPCTEmp,TransmissionEmployment,TransmissionEmploymentPCTEmp,MotorVehiclesEmployment,MotorVehiclesEmploymentPCTEmp
1,1,21.04,0.08,77.75,0.31,127.51,0.51,139.72,0.56,608.86,2.45
1,3,86.84,0.1,273.57,0.31,964.69,1.1,585.6,0.67,597.95,0.68
1,5,30.64,0.39,38.08,0.49,52.94,0.68,139.44,1.79,125.69,1.61
1,7,27.46,0.34,11.05,0.14,44.62,0.55,246.19,3.02,71.1,0.87
1,9,13.24,0.06,38.68,0.16,154.22,0.65,183.64,0.78,203.66,0.86
1,11,17.82,0.39,6.98,0.15,24.56,0.54,97.59,2.13,11.08,0.24
1,13,34.56,0.41,21.7,0.26,51.08,0.61,204.42,2.43,614.06,7.3
1,15,57.62,0.13,151.39,0.35,376.74,0.87,505.93,1.17,1736.52,4.01
1,17,42.07,0.29,12.9,0.09,117.82,0.81,128.52,0.89,1130.6,7.79
1,19,26.64,0.25,10.81,0.1,35.54,0.33,148.42,1.37,623.51,5.76
1,21,46.06,0.25,67.85,0.37,149.93,0.81,202,1.1,967.4,5.26
1,23,46.06,1.12,20.57,0.5,31.46,0.77,53.82,1.31,57.95,1.41
1,25,61.8,0.88,43.08,0.61,53.26,0.76,114.07,1.62,80.15,1.14
1,27,24.49,0.44,12.56,0.23,22.74,0.41,61.8,1.12,27.31,0.49
1,29,8.91,0.16,14.06,0.26,24.57,0.45,317.12,5.83,48.51,0.89
1,31,23.42,0.12,31.46,0.16,154.27,0.78,216.52,1.09,454.54,2.29
1,33,28.01,0.13,133.07,0.61,378.17,1.72,241.79,1.1,2164.58,9.86
1,35,33.66,0.8,16.85,0.4,47.08,1.12,51.12,1.22,195.31,4.65
1,37,11.1,0.27,5.72,0.14,20.69,0.5,37.31,0.9,51.95,1.25
1,39,26.11,0.18,696.74,4.7,129.92,0.88,445.72,3,405.89,2.74
1,41,25.56,0.42,8.5,0.14,147.63,2.42,65.19,1.07,1084.9,17.82
1,43,36.2,0.1,76.54,0.21,370.22,1.02,358.69,0.99,1629,4.49
1,45,31.64,0.17,62.04,0.33,216.3,1.14,252.61,1.33,80.21,0.42
1,47,15.84,0.11,36.03,0.26,119.33,0.86,180.28,1.3,417.88,3.02
1,49,32.95,0.12,111.28,0.4,466.71,1.66,304.44,1.08,1374.03,4.88
1,51,52.98,0.15,51.56,0.14,250.42,0.7,271.19,0.76,399.94,1.12
1,53,36.26,0.27,187.1,1.37,125.81,0.92,209.52,1.53,237.5,1.74
1,55,32.4,0.08,259.45,0.63,377.97,0.92,288.61,0.71,1171.14,2.86
1,57,36.82,0.59,26.76,0.43,29.2,0.47,83.21,1.34,214.45,3.45
1,59,22.63,0.17,48.96,0.37,186.46,1.4,117.3,0.88,1283.08,9.63
1,61,9,0.09,68.98,0.67,173.37,1.69,118.75,1.16,54.15,0.53
1,63,5.84,0.22,10.57,0.4,20.59,0.79,53.26,2.03,10.9,0.42
1,65,21.07,0.38,15.58,0.28,67.16,1.21,80.94,1.45,12.43,0.22
1,67,26.77,0.42,29.9,0.47,46.05,0.72,133.41,2.1,47.2,0.74
1,69,57.18,0.13,153.57,0.36,751.94,1.77,366.29,0.86,893.41,2.1
1,71,20.6,0.09,35.46,0.16,192.88,0.88,174.11,0.79,523.98,2.39
1,73,409,0.14,1575.43,0.53,5698.31,1.93,8833.27,2.99,5915.31,2
1,75,16.67,0.3,17.3,0.32,45.71,0.83,61.82,1.13,37.06,0.68
1,77,53.16,0.13,72.61,0.18,383.07,0.96,243.1,0.61,561.28,1.41
1,79,8.67,0.07,15.64,0.12,77.76,0.6,204.49,1.58,44.79,0.35
1,81,73.52,0.1,133.23,0.19,804.96,1.15,557.56,0.79,2419.92,3.44
1,83,41.53,0.1,47.66,0.12,317.13,0.8,990.49,2.5,1063.54,2.68
1,85,12.93,0.39,6.36,0.19,122.32,3.66,57.13,1.71,421.77,12.61
1,87,4.94,0.07,8.67,0.12,128.37,1.73,42.92,0.58,398.02,5.38
1,89,363.56,0.22,870.96,0.52,4849.68,2.88,1529.4,0.91,3878.35,2.3
1,91,74.38,1.03,123.36,1.71,87.11,1.2,147.58,2.04,49.38,0.68
1,93,21.51,0.18,18.65,0.16,81.69,0.69,109.68,0.92,76.59,0.65
1,95,25.49,0.06,60.77,0.15,337.54,0.84,315.62,0.78,1684.26,4.18
1,97,261.37,0.15,1453.67,0.82,3028.64,1.72,2796.58,1.59,2825.64,1.6
1,99,48.23,0.72,19.34,0.29,31.62,0.47,99.02,1.48,105.7,1.58
1,101,139.67,0.14,414.2,0.41,1965.31,1.95,1519.38,1.51,6038.27,5.99
1,103,63.26,0.12,251.77,0.48,825.26,1.57,485.13,0.92,560.14,1.07
1,105,7.74,0.25,5.84,0.19,23.11,0.73,34.7,1.1,12.6,0.4
1,107,18.61,0.26,11.12,0.15,36.67,0.5,60.73,0.83,13.6,0.19
1,109,35.83,0.25,25.91,0.18,112.77,0.78,158.91,1.1,202.95,1.4
1,111,22.16,0.25,12.5,0.14,42.35,0.47,111.38,1.23,49.76,0.55
1,113,20.32,0.09,59.88,0.27,176.79,0.79,190.27,0.85,203.78,0.91
1,115,43.73,0.12,143.18,0.38,432.19,1.15,389.32,1.04,2025.38,5.4
1,117,123,0.11,581.78,0.54,1672.51,1.56,2102.23,1.96,1133.73,1.06
1,119,14.14,0.31,16.42,0.36,25.79,0.56,60.89,1.32,32.83,0.71
1,121,22.24,0.07,78.93,0.24,239.93,0.73,300.97,0.92,6478.4,19.77
1,123,19.04,0.11,53.77,0.31,253.68,1.46,148.13,0.85,1338.07,7.71
1,125,126.18,0.13,725.47,0.76,1315.67,1.38,995.29,1.04,8012.63,8.41
1,127,63.06,0.27,203.73,0.87,146.66,0.62,470.88,2,369.03,1.57
1,129,38.16,0.61,272.4,4.38,69.12,1.11,68.26,1.1,17.69,0.28
1,131,21.46,0.87,6.92,0.28,32.72,1.32,51,2.06,30.23,1.22
1,133,9.06,0.1,13.59,0.15,80.31,0.88,90.4,0.99,261.85,2.86
2,13,0.35,0.01,7.67,0.31,2.72,0.11,6.17,0.25,0.51,0.02
2,16,6.08,0.17,11.19,0.31,12.67,0.35,7.18,0.2,2.51,0.07
2,20,258.52,0.18,4143.59,2.84,2538.18,1.74,2846.02,1.95,1480.74,1.02
2,50,6.11,0.1,34.05,0.53,29.78,0.46,55.03,0.86,5.59,0.09
2,60,0.64,0.16,11.59,2.92,6.92,1.74,2.82,0.71,0.6,0.15
2,68,0.71,0.07,21.16,2.01,3.19,0.3,4.92,0.47,1.14,0.11
2,70,21.21,1.13,7.73,0.41,4.79,0.25,7.21,0.38,1.24,0.07
2,90,30.85,0.07,331.61,0.76,604.77,1.38,1414.18,3.22,285.81,0.65
2,100,14.75,1.49,10.69,1.08,15.81,1.59,14.19,1.43,1.28,0.13
2,105,1.92,0.19,13.12,1.3,4.86,0.48,2.67,0.26,0.56,0.06
2,110,77.07,0.46,76.18,0.46,197.18,1.19,123.79,0.75,65.84,0.4
2,122,14.93,0.06,1293.76,5.22,214.07,0.86,394.4,1.59,108.84,0.44
2,130,25.81,0.39,48.49,0.72,88.06,1.31,52.4,0.78,24.99,0.37
2,150,48.03,0.8,13.57,0.22,34.32,0.57,25.19,0.42,15.3,0.25
2,158,1.39,0.06,7,0.31,6.38,0.29,1.64,0.07,0.59,0.03
2,164,10.49,1.64,13.51,2.12,5.92,0.93,6.72,1.05,1.26,0.2
2,170,31.42,0.07,110.1,0.25,438.57,0.98,452.01,1.01,180.14,0.4
2,180,2.59,0.07,16.59,0.46,12.72,0.35,24.86,0.68,5.34,0.15
2,185,1.49,0.04,7683.03,229.07,117.53,3.5,325.47,9.7,9.92,0.3
2,188,2.28,0.09,32.54,1.3,8.19,0.33,10.63,0.43,4.77,0.19
2,195,3.07,0.24,7.83,0.6,6.07,0.47,19.1,1.47,0.55,0.04
2,198,14.1,0.55,10.5,0.41,10.12,0.4,29.88,1.17,4.44,0.17
2,220,2.65,0.06,18,0.42,41.59,0.97,27.59,0.65,11.79,0.28
2,230,5.35,0.71,5.79,0.77,7.09,0.95,1.52,0.2,0.55,0.07
2,240,6.68,0.25,25.08,0.94,32.31,1.22,48.56,1.83,15.04,0.57
2,261,45.61,1.01,90.55,2,32.58,0.72,231.83,5.12,4.64,0.1
2,275,3.77,0.39,5.22,0.54,5.08,0.52,2.99,0.31,3.78,0.39
2,282,1.03,0.48,5.03,2.36,3.08,1.44,7.46,3.5,0.55,0.26
2,290,1.69,0.08,17,0.83,12.61,0.61,35.58,1.73,3.68,0.18
4,1,59.31,0.32,2183.42,11.93,72.45,0.4,80.69,0.44,41.4,0.23
4,3,44.5,0.1,43.25,0.09,471.85,1.01,292.31,0.63,244.98,0.53
4,5,205.64,0.29,25.42,0.04,564.3,0.79,306.35,0.43,490.68,0.69
4,7,12.33,0.06,14.3,0.07,151.8,0.76,87.43,0.44,95.82,0.48
4,9,20.72,0.15,5.06,0.04,87.27,0.64,59.91,0.44,110.29,0.81
4,11,2.26,0.06,2.76,0.07,33.76,0.89,38.2,1.01,27.07,0.71
4,12,7.96,0.1,3.01,0.04,32.27,0.39,15.28,0.19,136.61,1.66
4,13,8916.78,0.43,1946.2,0.09,32495.23,1.58,15737.65,0.77,21115.34,1.03
4,15,52.52,0.07,199.54,0.26,560.43,0.72,631.44,0.81,759.05,0.98
4,17,32.55,0.09,18.07,0.05,272.24,0.72,212.03,0.56,291.28,0.77
4,19,1027.04,0.23,6339.15,1.39,4812.76,1.06,2167.68,0.48,4182.28,0.92
4,21,140.89,0.09,70.89,0.04,559.52,0.34,306.3,0.19,505.08,0.31
4,23,9.21,0.05,6.21,0.04,88.38,0.51,62.17,0.36,84.75,0.49
4,25,95.1,0.1,52.44,0.05,954.89,0.98,260.16,0.27,884.82,0.91
4,27,105.71,0.13,229.27,0.29,728.86,0.92,239.6,0.3,661.25,0.83
5,1,30.17,0.35,24.89,0.29,358.98,4.13,102.22,1.18,61.02,0.7
5,3,61.39,0.83,22.9,0.31,85.21,1.15,113.94,1.53,81.4,1.09
5,5,16.98,0.11,40.25,0.26,150.06,0.96,129.54,0.83,423.33,2.7
5,7,140.08,0.11,568.18,0.44,1396.75,1.09,1145.81,0.89,1487.74,1.16
5,9,14.42,0.09,26.56,0.17,109.36,0.72,106.14,0.7,176.28,1.15
5,11,52.46,1.23,14.12,0.33,21.55,0.51,30.79,0.72,33.09,0.78
5,13,6.47,0.28,7.79,0.34,13.94,0.6,25.38,1.09,20.84,0.9
5,15,7.63,0.06,20.71,0.16,91.91,0.73,169.71,1.35,57.63,0.46
5,17,29.21,0.9,9.54,0.29,33.98,1.05,24.15,0.74,29.41,0.91
5,19,54.32,0.59,27.18,0.3,81.45,0.88,78.03,0.85,96.34,1.05
5,21,32.33,0.58,12.72,0.23,43.68,0.78,92.18,1.64,110.18,1.96
5,23,17.37,0.2,64.41,0.73,127.21,1.44,139.64,1.58,564.13,6.38
5,25,18.67,0.59,6,0.19,11.66,0.37,12.21,0.38,9.71,0.3
5,27,19.51,0.23,403.92,4.68,58.61,0.68,77.93,0.9,56.09,0.65
5,29,19.38,0.25,32.47,0.41,106.23,1.35,136.88,1.75,70.41,0.9
5,31,74.36,0.14,107.09,0.21,599.58,1.15,408.38,0.78,747.67,1.44
5,33,42.11,0.16,119.45,0.46,248.91,0.96,244.25,0.94,494.76,1.9
5,35,46.93,0.23,61.62,0.3,139.78,0.68,116.67,0.57,902.49,4.41
5,37,32.89,0.45,11.86,0.16,29.47,0.4,42.52,0.58,66.81,0.91
5,39,32.3,1.16,6.83,0.24,18.14,0.65,23.6,0.84,16.15,0.58
5,41,34.25,0.66,10.48,0.2,53.64,1.03,35.14,0.68,109.82,2.12
5,43,60.83,0.8,12.6,0.17,31.71,0.42,47.57,0.63,31.47,0.42
5,45,56.08,0.09,382.36,0.64,618.43,1.04,530.15,0.89,603.22,1.02
5,47,7.29,0.1,137.3,1.92,67,0.94,229.51,3.21,27.04,0.38
5,49,3.43,0.08,7.49,0.17,16.07,0.36,73.32,1.62,14.95,0.33
5,51,66.04,0.17,112.11,0.29,429.97,1.11,300.47,0.78,316.47,0.82
5,53,31.39,0.39,12.41,0.15,50.33,0.62,31.79,0.39,44.19,0.55
5,55,27.72,0.15,27.58,0.15,161.3,0.85,142.54,0.75,2047.41,10.77
5,57,25.59,0.27,73.47,0.77,110.74,1.16,187.5,1.96,74.37,0.78
5,59,17.75,0.13,19.23,0.14,53.24,0.39,155.31,1.14,75.71,0.56
5,61,23.66,0.41,9.83,0.17,25.39,0.44,45.83,0.79,126.45,2.18
5,63,14.34,0.09,161.57,1.04,105.86,0.68,72.41,0.47,210.72,1.36
5,65,4.94,0.11,18.81,0.41,34.69,0.75,36.06,0.78,24.88,0.54
5,67,28.56,0.52,10.79,0.19,32.01,0.58,50.16,0.91,85.97,1.55
5,69,41.19,0.16,193.03,0.73,256.44,0.97,262.81,0.99,430.63,1.62
5,71,17.46,0.17,12.82,0.13,50.32,0.5,39.51,0.39,76.45,0.75
5,73,12.06,0.5,87.38,3.62,22.81,0.95,32.89,1.36,11.71,0.49
5,75,22.9,0.35,11.02,0.17,38.64,0.59,53.16,0.8,33.76,0.51
5,77,23.05,0.82,7.24,0.26,16.55,0.59,25.51,0.9,10.43,0.37
5,79,14.71,0.38,7.74,0.2,19.75,0.51,93.01,2.39,21.89,0.56
5,81,10.78,0.21,8.9,0.17,32.77,0.63,18.77,0.36,26.6,0.51
5,83,6.24,0.07,30.65,0.36,58.31,0.68,47.38,0.55,773.23,9.03
5,85,58.44,0.18,45.41,0.14,174.02,0.53,234.01,0.71,92.94,0.28
5,87,10.32,0.14,13.23,0.18,20.97,0.29,41.08,0.57,17.71,0.25
5,89,16.95,0.27,8.07,0.13,19.92,0.32,35.84,0.58,10.61,0.17
5,91,28.06,0.15,50.57,0.27,148,0.78,247.92,1.31,241.07,1.27
5,93,87.75,0.52,207.94,1.24,457.07,2.73,376.95,2.25,512.59,3.06
5,95,15.2,0.57,6.74,0.25,16.59,0.62,13.66,0.51,59.22,2.21
5,97,7.4,0.25,7.31,0.25,24.89,0.84,17.39,0.59,9.99,0.34
5,99,15.82,0.45,7.94,0.23,18.73,0.54,36.31,1.04,27.84,0.8
5,101,2.49,0.08,5.36,0.17,15.47,0.48,37.72,1.18,14.94,0.47
5,103,24.43,0.26,89.64,0.97,56.91,0.61,94.46,1.02,75.49,0.81
5,105,4.71,0.12,114.05,2.8,24.02,0.59,36.91,0.91,9.62,0.24
5,107,33.19,0.54,36.99,0.6,39.43,0.64,71.84,1.17,28.99,0.47
5,109,17.21,0.42,10.64,0.26,16.84,0.41,22.07,0.54,91.4,2.22
5,111,39.53,0.4,8.17,0.08,39.81,0.4,21.15,0.21,42.26,0.43
5,113,12.82,0.17,15.77,0.21,101.72,1.33,109.37,1.42,155.55,2.03
5,115,117.46,0.42,137.43,0.49,312.21,1.12,456.59,1.64,658.24,2.37
5,117,11.82,0.33,8.71,0.25,23.91,0.67,18.98,0.53,12.46,0.35
5,119,368.13,0.2,1064.38,0.58,3289.18,1.81,3596.32,1.97,2999.13,1.65
5,121,14.68,0.22,13.07,0.2,49.15,0.74,48.02,0.72,30,0.45
5,123,22.81,0.29,17.11,0.22,88.65,1.12,106.19,1.34,32.38,0.41
5,125,62.07,0.11,102.01,0.18,497.59,0.89,384.55,0.69,327.95,0.59
5,127,10.88,0.25,9.29,0.22,16.26,0.38,38.11,0.89,17.59,0.41
5,129,6.44,0.23,7.2,0.26,16.62,0.59,22.57,0.81,5,0.18
5,131,68.37,0.12,424.76,0.77,1116.51,2.02,979.21,1.77,825.22,1.49
5,133,18.98,0.35,13.86,0.26,28.02,0.52,34.58,0.64,46.46,0.86
5,135,6.24,0.11,11.79,0.21,41.64,0.73,49.42,0.87,41.95,0.74
5,137,6.83,0.15,6.89,0.15,15.09,0.33,18.31,0.4,70.86,1.55
5,139,46.73,0.31,1073.64,7.04,262.53,1.72,417.51,2.74,173.18,1.13
5,141,5.45,0.1,155.34,2.72,42.52,0.74,129.55,2.27,64.53,1.13
5,143,144.69,0.12,556.8,0.47,1471.72,1.25,1084.98,0.92,1507.41,1.28
5,145,31.66,0.1,243.25,0.76,260.27,0.81,344.39,1.07,420.02,1.31
5,147,15.37,0.55,14.74,0.53,19.56,0.7,42.73,1.53,10.89,0.39
5,149,13.55,0.16,10.9,0.13,44.05,0.54,39.01,0.47,41.95,0.51
6,1,10355.68,1.28,2493.99,0.31,16477.84,2.04,5754,0.71,16311.77,2.02
6,3,20.24,3.93,98.39,19.1,128.99,25.05,56.31,10.93,54.58,10.6
6,5,250.38,1.79,111.1,0.8,240.03,1.72,79.49,0.57,182.47,1.31
6,7,1221.88,1.27,808.58,0.84,1143.5,1.19,269.88,0.28,755.41,0.79
6,9,154.64,0.77,113.59,0.57,301.48,1.51,175.96,0.88,125.31,0.63
6,11,99.34,1.07,118.52,1.28,159.21,1.72,117.62,1.27,87.91,0.95
6,13,7138.26,1.33,6314.52,1.18,8728.08,1.63,7359.86,1.37,4056.18,0.76
6,15,87.6,0.97,105.33,1.16,170.16,1.88,93.24,1.03,80.95,0.89
6,17,469.36,0.55,303.93,0.35,1221.87,1.42,970.6,1.13,824.67,0.96
6,19,2192.99,0.54,1136.72,0.28,5162.2,1.27,3372.5,0.83,5356.13,1.32
6,21,110.26,0.93,118.61,1,184.9,1.56,144.81,1.22,117.56,0.99
6,23,646.7,1.08,162.3,0.27,698.52,1.17,357.49,0.6,526.5,0.88
6,25,376.18,0.65,337.35,0.58,572.89,0.99,223.79,0.39,310.77,0.54
6,27,230.18,2.8,134.93,1.64,184.73,2.24,65.96,0.8,130.16,1.58
6,29,2105.98,0.6,8628.42,2.47,4259.04,1.22,4932.29,1.41,3583.52,1.03
6,31,200,0.38,129.16,0.25,383.68,0.74,187.99,0.36,321.05,0.62
6,33,146.52,0.53,112.25,0.41,275.87,1,288.78,1.05,156.04,0.56
6,35,172.5,1.82,114.78,1.21,179.32,1.89,76.64,0.81,177.66,1.87
6,37,22206.11,0.46,15762.63,0.33,65238.95,1.35,29966.05,0.62,55126.08,1.14
6,39,288.26,0.52,136.1,0.24,662.02,1.18,234.75,0.42,585.73,1.05
6,41,2003.88,1.48,453.25,0.33,2612.59,1.93,767.18,0.57,1596.84,1.18
6,43,86.42,1.2,111.28,1.54,172.5,2.39,67.6,0.94,67.98,0.94
6,45,553.81,1.47,136.15,0.36,461.51,1.22,246.84,0.65,417.63,1.11
6,47,514.73,0.49,158.35,0.15,703.9,0.67,295.31,0.28,783.99,0.75
6,49,77.73,2.65,100.8,3.44,146.99,5.01,260.34,8.87,82.13,2.8
6,51,79.66,0.98,153.93,1.9,216.87,2.67,70.13,0.86,56.14,0.69
6,53,838.34,0.41,528.87,0.26,1905.24,0.93,1265.99,0.62,1344.66,0.66
6,55,263.75,0.37,233.1,0.33,1247.61,1.77,507.53,0.72,560.45,0.79
6,57,401.76,0.87,198.66,0.43,842.2,1.82,216.82,0.47,527.3,1.14
6,59,11986.17,0.77,8793.57,0.57,37192.75,2.4,24542.71,1.58,23055.15,1.49
6,61,3637.79,2.09,565.27,0.32,3794.75,2.18,1725.4,0.99,1768.64,1.01
6,63,139.33,1.97,110.46,1.56,218.64,3.09,809.89,11.45,101.1,1.43
6,65,7348.53,0.72,2746.81,0.27,14146.69,1.39,4920.41,0.48,11951.85,1.18
6,67,5564.37,0.84,1927.01,0.29,11513.82,1.73,6328.87,0.95,6791.58,1.02
6,69,98.57,0.34,130.34,0.45,429.02,1.49,117.33,0.41,177.56,0.62
6,71,3473.04,0.39,4002.34,0.45,9477.99,1.06,9804.53,1.09,14288.53,1.59
