statecode,discuss,discussOppose,reducetax,reducetaxOppose,CO2limits,CO2limitsOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,drilloffshore,drilloffshoreOppose,drillANWR,drillANWROppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,prienv,prienvOppose,teachGW,teachGWOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose,PerCapitapersonalincome2016,PerCapitapersonalincome2017,PerCapitapersonalincome2018,Percentchangefromprecedingyear2017,Percentchangefromprecedingyear2018,GDP2015,GDP2016,GDP2017,GDP2018,PercentchangeGDPfromprecedingyear2016,PercentchangeGDPfromprecedingyear2017,PercentchangeGDPfromprecedingyear2018,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,Populationpersquaremile2010,TotalemploymentnumberofjobsUmp,WageandsalaryemploymentUmp,ProprietorsemploymentUmp,FarmproprietorsemploymentUmp,NonfarmproprietorsemploymentUmp,FarmemploymentUmp,NonfarmemploymentUmp,PrivatenonfarmemploymentUmp,ForestryfishingandrelatedactivitiesUmp,MiningquarryingandoilandgasextractionUmp,UtilitiesUmp,ConstructionUmp,ManufacturingUmp,WholesaletradeUmp,RetailtradeUmp,TransportationandwarehousingUmp,InformationUmp,FinanceandinsuranceUmp,RealestateandrentalandleasingUmp,ProfessionalscientificandtechnicalservicesUmp,ManagementofcompaniesandenterprisesUmp,AdministrativeandsupportandwastemanagementandremediationsUmp,EducationalservicesUmp,HealthcareandsocialassistanceUmp,ArtsentertainmentandrecreationUmp,AccommodationandfoodservicesUmp,OtherservicesexceptgovernmentandgovernmententerprisesUmp,GovernmentandgovernmententerprisesUmp,FederalcivilianUmp,MilitaryUmp,StateandlocalUmp,StategovernmentUmp,LocalgovernmentUmp,TotalEnergyExpendituremilliondollars,Totalenergyexpenditurepercapitadollarspercapita,TotalResidentialEnergyExpendituremilliondollars,ResidentialEnergyExpenditurepercapitadollarspercapita,TotalTransportationEnergyExpendituremildollars,TransportationEnergyExpenditurepercapitadollars
1,28.677,71.27,60.31,38.45,62.63,36.68,52.72,16.63,52.94,18.04,53.94,23.26,55.02,16.35,63.29,13.06,58.25,13.83,67.76,31.16,55.48,44.27,61.85,36.63,36.31,62.02,79.41,19.88,79.04,20,25.17,73.02,67.49,29.13,73.63,25.73,58.41,19.58,46.19,37.76,41.05,28.2,52.02,47.77,36.86,50.63,50.79,35.9,55.19,29.97,57.86,27.26,59.9,26.22,42.43,57.57,49.22,8.8,39224,40467,42238,3.2,4.4,189339144,190703043,193023933,198435935,0.7,1.2,2.8,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,94.4,2735740,2127180,608560,34596,573964,41785,2693955,2284834,16515,9299,13673,153527,279742,82980,283529,90046,28129,118803,114475,159330,19603,189764,41819,258399,43059,203808,178334,409121,54134,29000,325987,109365,216622,5925.4,8060.3,816,1110,3571,4857.62
2,38.811,60.41,61.41,37.89,62.94,36.53,51.19,18.82,47.22,22.63,55.2,25.09,53.86,17.19,66.65,12.54,61.41,12.17,68.74,30.2,56.57,42.36,52.71,46.79,34.56,64.04,82.7,16.36,80.89,18.02,36.85,61.49,69.71,26.01,74.56,25.05,64.77,19.6,47.61,37.05,49.85,30.32,56.44,43.05,38.4,54.34,55.02,37.28,61.08,30.84,64.09,26.85,67.67,25.93,44.13,55.88,54.94,8.05,56016,56794,59420,1.4,4.6,53798671,52710723,52727361,53092380,-2,0,0.7,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,1.2,459788,358567,101221,919,100302,1451,458337,355966,10598,15393,2298,23996,15800,7585,44552,25748,6440,11763,18145,23944,3547,17475,5895,53422,11268,36833,21264,102371,14866,25806,61699,23214,38485,21951.8,4491.2,4720,965.68,9629,1970.03
3,38.699,61.11,62.29,37.07,65.41,33.8,55.25,17.62,54.23,18.48,58.71,21.86,57.61,14.9,68.2,12.23,62.18,12.69,70.92,28.73,61.17,38.12,56.12,42.85,38.2,60.8,82.36,17.03,80.42,19.05,37.23,61.22,69.31,28.51,75.42,24.36,66.6,17.63,51.54,33.74,51.5,27.27,59.56,40.42,42.35,49.22,57.52,34.1,61.22,28.38,64.73,24.49,66.01,24.58,47.17,52.83,58.4,7.56,40671,42505,44329,4.5,4.3,280229518,289230418,299405667,311705618,3.2,3.5,4.1,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,56.3,3969347,3048198,921149,17856,903293,29799,3939548,3480754,16268,19406,12749,234021,192125,112782,397348,176543,61298,267352,229393,261327,39601,322824,81329,449314,90754,307895,208425,458794,56554,34735,367505,94448,273057,12509.7,4156.4,2427,806.38,5930,1970.27
4,30.274,69.58,61.67,37.94,62.03,37.47,52.41,17.9,51.53,19.31,54.85,25.28,53.96,18.22,63.73,13.33,59,14.3,66.57,33,57.13,42.46,58.31,40.06,38,60.18,78.75,21.23,78.02,20.92,28.74,69.81,64.03,30.34,73.55,25.87,59.98,20.74,46.61,37.46,42.1,30.06,52.99,46.97,36.55,52.13,51.77,37.33,57.28,31.16,61.53,26.48,63.31,26.01,42.29,57.71,50.78,9.3,40148,41520,43233,3.4,4.1,113860922,114541175,115346724,117293783,0.6,0.7,1.7,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,56,1673743,1304362,369381,38277,331104,52433,1621310,1395780,15076,9834,8018,93089,167950,51987,168641,75800,14474,66302,64065,71479,35889,95460,23374,197796,23587,118450,94509,225530,20352,15022,190156,80573,109583,22824.7,3188.7,5140,718.08,11748,1641.24
5,42.048,57.77,70.13,29.63,71.71,27.77,59.06,16.14,56.65,19.58,64.83,18.16,64.28,10.99,72.27,11.64,67.16,11.42,74.44,24.15,65.85,33.13,41.9,57.21,27.87,71.06,83.67,15.22,82.61,16.4,36.66,61.36,73.9,24.53,80.49,19.18,73.03,11.6,59.16,27.27,58.1,20.77,67.42,32.39,49.7,41.97,64.5,26.67,68.48,21.19,73.25,17.57,74.43,17.21,54.26,45.74,64.51,6.28,57739,60156,63557,4.2,5.7,2428598371,2500950427,2610682250,2721651005,3,4.4,4.3,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,239.1,24602061,18598619,6003442,57636,5945806,238592,24363469,21525859,261864,38499,59126,1234241,1425642,782284,2059415,1219163,645770,1127472,1251248,2154279,288961,1544512,556247,2797215,712728,1869267,1497926,2837610,248689,204524,2384397,563115,1821282,138992.4,3522.2,22860,579.29,77790,1971.27
6,40.655,59.22,62.86,36.67,67.94,31.36,54.63,17.47,53.92,18.71,60.31,21.7,58.16,14.56,70.15,11.89,64.7,12.1,71.86,27.68,62.42,37.38,45.41,54.37,31.27,69.73,83.79,15.7,81.53,18.44,39.86,58.64,70.19,26.82,75.77,24.05,68.05,16.72,53.04,32.36,53.63,26.93,60.3,39.69,41.53,51.36,57.81,34.89,62.32,28.75,68.01,22.79,69.29,23.01,47.35,52.65,60.98,6.96,52262,55335,58456,5.9,5.6,309179631,316751784,329573719,341076739,2.4,4,3.5,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,48.5,3949744,2916438,1033306,35246,998060,48211,3901533,3390707,14831,48402,8769,270426,168466,122069,341493,153267,91283,229000,235182,369857,50865,217681,78477,356021,115449,309821,209348,510826,53124,53846,403856,127587,276269,18431.2,3238.5,3672,645.2,9193,1615.28
7,38.483,61.32,72.49,27.58,73.65,25.49,56.63,14.51,58.05,14.43,64.66,15.62,61.59,10.82,72.83,10.54,66.65,10.19,76.1,22.61,68.06,31.46,50.55,48.82,30.71,69.25,86.55,13.18,83.96,15.3,32.88,65.95,71.5,26.71,79.9,19.49,68.89,13.52,56.8,28.92,55.78,22.76,65.32,34.5,42.81,48.79,60.72,30.79,65.96,24.4,73.73,17.97,73.9,18.24,49.5,50.5,64.24,6.61,69741,72213,76456,3.5,5.9,242910718,242793869,243682541,244925749,0,0.4,0.5,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,738.1,2331726,1750171,581555,5023,576532,9611,2322115,2069441,2402,1889,5595,116013,171155,67138,212628,80323,38852,193042,124988,166030,37671,123192,90575,311169,58325,144079,124375,252674,18251,13638,220785,74737,146048,14144.5,3960.4,4932,1380.94,5315,1488.18
8,34.442,65.79,65.7,34.15,69.12,30.04,58.79,16.18,59.2,16.99,62.05,19.36,62.55,12.55,69.76,12.78,63.83,13.45,73.06,26.22,63.23,36.47,51.03,49.4,32.95,67.62,83.31,16.17,80.78,18.53,31.05,67.41,69.03,28.89,76.25,23.45,68.06,14.79,53.2,31.85,53.56,24.09,59.15,40.98,43.13,47.35,57.32,32.06,63.66,25.7,68.14,20.99,68.49,21.19,48.96,51.04,61.37,6.53,48505,50350,52507,3.8,4.3,65876064,63108730,62740077,62764748,-4.2,-0.6,0,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764,460.8,606694,478205,128489,1886,126603,3309,603385,528352,NaN,NaN,2145,33332,28841,12565,61455,23150,5613,63535,30759,38739,10597,36838,9923,78828,15888,46278,28406,75033,5751,8681,60601,32787,27814,2145.6,3058.4,502,715.57,398,567.32
9,43.608,56.42,72.94,26.64,77.61,21.61,66.66,12.49,67.49,12.34,73.08,12.07,69.33,6.68,77.94,9.36,73.11,9.35,79.32,19.74,70.66,28.28,37.3,63.56,22.82,77.56,88.25,11.08,84.56,14.75,37.66,60.71,75.23,21.6,83.62,16.28,80.08,7.43,61.33,27.19,67.42,17.52,70.6,29.24,53.18,39.08,68.1,22.9,76.32,16.46,78.53,12.96,80.27,12.65,60.52,39.48,74.61,3.89,77475,78969,82005,1.9,3.8,117238433,119567337,121011225,123981627,2,1.2,2.5,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,9856.5,923009,806196,116813,0,116813,0,923009,674698,89,252,2116,17961,2154,5782,26806,15145,22510,27956,32102,147712,3489,52751,59427,76211,19640,75933,86662,248311,191495,14158,42658,0,42658,3733.6,3867.1,926,959.11,1674,1733.86
10,34.444,65.57,65.32,34.25,67.43,31.81,59.39,16.42,59.52,16.59,61.75,19.37,61.37,13.28,68.84,12.55,62.99,13.13,72.5,26.81,62.49,36.34,47.95,51.25,34.82,64.31,82.84,16.49,80.18,19.15,31.75,66.86,68.29,28.72,76.73,22.94,67.75,15.89,52.02,33.39,51.24,25.36,59.32,40.69,43.47,48.2,57.08,32.44,61.42,27.85,66.72,23.02,68.04,22.67,48.84,51.16,58.42,7.15,45684,47869,50070,4.8,4.6,839124321,866730997,896117037,924873329,3.3,3.4,3.2,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,350.6,12857048,9338828,3518220,38701,3479519,78475,12778573,11573978,63459,16214,24466,800556,431004,404987,1319374,611564,184149,788450,836703,937969,155851,1012977,242293,1390255,385786,1103541,864380,1204595,143148,92838,968609,254521,714088,62480.8,2941.1,15133,712.34,32603,1534.69
