TotalemploymentnumberofjobsUmp,FarmemploymentUmpPCT,MiningquarryingandoilandgasextractionUmpPCT,ConstructionUmpPCT,ForestryfishingandrelatedactivitiesUmpPCT,HealthcareandsocialassistanceUmpPCT,PerCapitapersonalincome2018,GDP2018,PercentPopulationUnder18,PercentPopulationOver65,PercentNonwhite,PercentofPopulationBelowPovertyLevel,UnemploymentRate,Populationpersquaremile2010,discuss,discussOppose,reducetax,reducetaxOppose,CO2limits,CO2limitsOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,drilloffshore,drilloffshoreOppose,drillANWR,drillANWROppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,prienv,prienvOppose,teachGW,teachGWOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose
18493.0,0.64,0.16,1.9,0.24,2.71,41618.0,1483414,24.55,14.25,23.4,13.6,2.7,91.8,26.86,73.13,53.31,45.88,56.68,42.59,49.2,19.6,48.81,20.88,50.27,27.06,52.92,19.24,60.27,15.46,54.81,16.49,65.04,34.34,53.21,46.97,65.86,32.81,38.55,60.09,77.77,22.01,77.15,22.28,26.51,71.87,64.84,31.94,66.19,33.19,54.06,23.84,42.15,41.59,36.96,32.86,46.41,53.52,33.79,55.07,47.63,40.72,51.77,34.48,54.62,32.4,56.23,31.92,38.12,61.88,44.7,9.69
119535.0,0.27,0.1,2.13,0.19,2.79,45596.0,5774289,22.13,19.02,13.47,11.67,2.7,114.6,30.09,69.93,52.47,47.34,54.75,44.74,49.34,20.61,50.45,21.87,52.72,27.48,53.13,20.3,61.79,15.62,56.26,17.06,64.4,34.72,53.44,46.89,63.91,34.21,38.77,59.52,77.96,21.42,77.26,21.97,29.89,68.68,64.19,32.83,67.03,32.71,55.14,25.27,41.25,41.34,35.61,36.3,48.18,51.66,33.59,57.32,47.69,42.48,52.13,35.92,55.64,32.49,58.2,30.23,37.18,62.82,46.88,10.06
11684.0,1.43,0.42,1.1,0.66,,35199.0,787425,21.04,17.45,53.44,24.17,3.8,31.0,28.12,71.78,63.44,35.27,64.92,33.54,58.36,14.56,57.78,15.22,60.07,18.09,58.82,11.37,66.03,12.89,60.61,13.46,69.04,29.16,58.54,41.06,60.4,37.44,35.93,62.4,80.41,18.62,79.13,19.67,23.28,74.78,69.24,27.04,76.65,22.73,63.5,13.74,47.89,37.7,42.56,23.65,56.4,43.35,42.82,42.23,55.25,28.77,58.71,23.42,59.34,21.99,62.89,20.56,48.73,51.27,54.08,6.83
6897.0,0.66,,4.88,,2.52,30254.0,364197,20.94,15.07,23.28,13.88,3.1,36.8,25.78,74.14,53.88,45.59,55.5,43.53,49.26,19.65,48.53,21.1,49.88,26.26,52.09,18.49,59.41,16.24,53.98,17.36,63.61,35.37,51.83,48.07,66.32,31.99,41.14,57.07,77.18,22.41,75.83,23.37,25.21,73.23,63.81,32.73,67.1,32.31,53.27,23.77,41.1,42.61,35.6,32.01,46.14,53.66,34.56,53.4,47.41,39.84,50.61,34.28,52.83,32.45,55.62,30.7,38.62,61.38,45.14,9.51
15993.0,2.24,,3.19,,,34976.0,849114,23.52,17.35,4.55,15.47,2.7,88.9,26.0,73.97,48.24,51.76,51.99,47.61,44.37,23.29,44.17,24.71,46.28,31.1,50.64,23.19,56.87,17.75,51.82,19.24,61.15,38.58,49.45,50.56,68.37,30.34,42.19,55.89,75.63,24.38,74.46,25.12,27.48,71.22,61.11,35.66,61.07,38.54,48.12,30.85,39.31,42.66,33.41,35.46,41.95,57.93,30.63,59.95,43.66,46.81,47.55,40.31,51.0,38.02,52.85,36.4,33.85,66.15,40.12,11.43
4281.0,4.14,0.0,,0.92,5.09,28797.0,244183,20.67,15.17,78.06,27.22,3.6,17.5,30.39,69.5,70.85,27.7,72.52,26.02,65.32,10.67,65.33,10.73,66.84,12.57,64.59,6.86,70.27,10.17,65.59,10.22,72.91,25.03,64.06,35.25,52.02,45.4,29.78,68.62,82.41,16.24,80.95,17.84,21.6,76.19,73.64,22.52,83.14,16.2,70.11,7.82,52.97,33.17,49.95,16.77,63.89,35.88,49.83,33.43,62.3,20.37,65.29,16.13,64.57,15.48,68.34,14.25,57.34,42.66,60.76,4.92
9766.0,1.29,0.06,1.49,0.75,,36450.0,570686,22.71,18.54,47.6,24.02,3.6,27.0,27.38,72.59,62.38,36.34,63.24,35.4,56.75,15.3,56.17,16.01,56.22,20.21,56.88,13.0,63.93,13.28,58.61,13.93,68.63,29.94,58.0,41.8,61.33,36.81,35.94,62.47,79.85,19.36,79.04,19.98,23.28,74.78,68.56,27.82,74.86,24.4,61.27,15.53,46.05,39.01,40.91,25.89,53.41,46.46,40.16,44.67,53.08,31.07,56.48,25.45,58.17,23.74,61.15,22.7,46.21,53.79,52.2,7.27
59132.0,0.3,,1.2,,2.47,37120.0,3950436,22.01,16.45,25.44,18.13,3.5,195.7,28.25,71.72,55.88,43.34,59.49,39.62,50.89,18.81,50.64,19.88,52.7,25.1,53.69,17.64,61.45,14.93,56.23,15.97,66.27,32.26,55.47,44.34,62.07,36.55,37.38,61.13,78.45,21.14,77.57,21.73,26.47,71.85,65.43,31.14,70.11,29.41,56.47,22.71,44.64,38.86,38.96,30.4,49.41,50.42,35.33,52.89,49.22,38.2,53.28,31.8,55.88,29.34,58.18,28.05,40.76,59.24,48.35,9.06
12741.0,0.75,0.0,1.53,0.65,,33859.0,1941217,21.41,18.59,42.32,18.55,2.9,57.4,26.5,73.49,60.92,37.68,62.58,36.03,55.46,16.03,54.85,16.66,55.21,20.2,56.29,13.42,64.1,13.46,58.3,14.52,68.41,30.24,57.32,42.54,61.52,36.73,36.83,61.68,78.72,20.67,78.86,20.23,22.85,75.13,67.56,28.76,73.75,25.41,60.17,16.69,44.36,40.54,40.8,26.83,51.93,47.95,38.53,46.51,51.18,33.21,55.11,27.37,56.66,25.62,60.02,23.73,44.52,55.48,50.76,7.71
8614.0,2.05,0.09,1.76,0.6,,35505.0,498013,20.14,20.97,6.9,15.87,2.9,46.9,26.56,73.37,51.93,47.93,53.48,45.87,45.68,21.96,45.33,23.72,47.93,30.02,50.07,22.36,58.39,17.04,52.91,18.36,62.36,37.1,49.91,50.24,68.45,30.21,42.06,56.17,76.61,23.22,75.34,24.08,27.51,71.21,62.37,34.19,64.69,35.0,51.17,28.69,40.26,42.42,34.58,35.77,44.21,55.62,32.12,58.08,45.26,44.36,48.6,38.63,51.67,36.55,54.18,34.71,36.2,63.8,43.2,10.71
