STATEFP,COUNTYFP,reducetax,CO2limits,localofficials,governor,congress,president,corporations,citizens,regulate,supportRPS,drilloffshore,drillANWR,fundrenewables,rebates,mediaweekly,prienv,teachGW,happening,human,consensus,worried,personal,harmUS,devharm,futuregen,harmplants,timing,affectweather,PerCapitapersonalincome2018,GDP2018,PercentPopulationUnder18,PercentPopulationOver65,PercentNonwhite,PercentofPopulationBelowPovertyLevel,POPESTIMATE2019,UnemploymentRate,AgricultureforestryfishingandhuntingPCT,ConstructionPCT,HealthcareandsocialassistancePCT,Populationpersquaremile2010,TotalemploymentnumberofjobsUmp
01,001,0.27,0.41,0.25,0.26,0.23,0.27,0.22,0.19,0.29,0.25,0.85,0.62,0.28,0.36,0.32,0.38,0.23,0.24,0.18,0.21,0.16,0.14,0.18,0.28,0.2,0.19,0.22,0.3,0.1,0.0,0.59,0.21,0.24,0.23,0.01,0.11,0.1,0.22,0.18,0.0,0.0
01,003,0.25,0.37,0.26,0.31,0.3,0.27,0.27,0.24,0.26,0.26,0.8,0.63,0.3,0.37,0.42,0.35,0.26,0.27,0.15,0.18,0.21,0.13,0.18,0.29,0.23,0.26,0.19,0.35,0.12,0.01,0.52,0.3,0.14,0.19,0.02,0.11,0.09,0.12,0.17,0.0,0.02
01,005,0.53,0.58,0.61,0.56,0.5,0.48,0.42,0.41,0.46,0.44,0.72,0.53,0.43,0.49,0.23,0.59,0.61,0.49,0.35,0.33,0.43,0.45,0.43,0.47,0.35,0.4,0.56,0.51,0.07,0.0,0.5,0.27,0.56,0.44,0.0,0.17,0.1,0.13,0.15,0.0,0.0
01,007,0.29,0.39,0.25,0.25,0.22,0.24,0.18,0.16,0.23,0.21,0.86,0.7,0.25,0.28,0.28,0.33,0.27,0.22,0.14,0.18,0.15,0.17,0.17,0.25,0.15,0.17,0.23,0.31,0.05,0.0,0.49,0.23,0.24,0.23,0.0,0.13,0.17,0.2,0.14,0.0,0.0
01,009,0.14,0.31,0.07,0.11,0.12,0.19,0.09,0.08,0.12,0.12,0.91,0.74,0.16,0.19,0.35,0.2,0.05,0.09,0.09,0.13,0.04,0.03,0.05,0.16,0.09,0.09,0.08,0.2,0.07,0.0,0.56,0.27,0.05,0.27,0.01,0.11,0.08,0.16,0.2,0.0,0.0
01,011,0.73,0.74,0.87,0.8,0.69,0.68,0.58,0.6,0.62,0.63,0.53,0.33,0.55,0.61,0.17,0.8,0.84,0.66,0.5,0.48,0.62,0.69,0.66,0.66,0.51,0.58,0.84,0.66,0.04,0.0,0.49,0.23,0.81,0.51,0.0,0.16,0.13,0.17,0.13,0.0,0.0
01,013,0.51,0.55,0.54,0.5,0.4,0.41,0.35,0.33,0.44,0.42,0.74,0.53,0.4,0.49,0.23,0.56,0.54,0.43,0.29,0.29,0.35,0.36,0.36,0.41,0.31,0.35,0.48,0.47,0.08,0.0,0.54,0.29,0.5,0.44,0.0,0.16,0.17,0.12,0.19,0.0,0.0
01,015,0.34,0.47,0.32,0.32,0.3,0.29,0.26,0.24,0.34,0.33,0.76,0.58,0.32,0.39,0.32,0.41,0.37,0.31,0.25,0.25,0.24,0.19,0.23,0.32,0.24,0.25,0.3,0.38,0.08,0.01,0.52,0.25,0.27,0.32,0.01,0.15,0.13,0.14,0.19,0.0,0.01
01,017,0.47,0.54,0.49,0.46,0.37,0.39,0.35,0.32,0.43,0.4,0.75,0.56,0.34,0.47,0.21,0.51,0.5,0.4,0.24,0.29,0.31,0.3,0.3,0.37,0.26,0.31,0.43,0.44,0.07,0.0,0.51,0.3,0.44,0.33,0.0,0.12,0.1,0.16,0.15,0.0,0.0
01,019,0.24,0.35,0.12,0.14,0.17,0.17,0.15,0.12,0.18,0.14,0.91,0.73,0.22,0.24,0.35,0.26,0.18,0.17,0.12,0.16,0.1,0.08,0.1,0.19,0.11,0.13,0.16,0.27,0.07,0.0,0.47,0.34,0.07,0.27,0.0,0.12,0.14,0.14,0.2,0.0,0.0
