FIPS,County_State,WaterStressERA
1001,Autauga_Alabama,0.075
1003,Baldwin_Alabama,0.034
1005,Barbour_Alabama,0.009
1007,Bibb_Alabama,0.008
1009,Blount_Alabama,0.066
1011,Bullock_Alabama,0.006
1013,Butler_Alabama,0.005
1015,Calhoun_Alabama,0.039
1017,Chambers_Alabama,0.006
1019,Cherokee_Alabama,0.008
1021,Chilton_Alabama,0.007
1023,Choctaw_Alabama,0.054
1025,Clarke_Alabama,0.019
1027,Clay_Alabama,0.004
1029,Cleburne_Alabama,0.003
1031,Coffee_Alabama,0.02
1033,Colbert_Alabama,1.172
1035,Conecuh_Alabama,0.002
1037,Coosa_Alabama,0.001
1039,Covington_Alabama,0.01
1041,Crenshaw_Alabama,0.006
1043,Cullman_Alabama,0.027
1045,Dale_Alabama,0.015
1047,Dallas_Alabama,0.047
1049,DeKalb_Alabama,0.01
1051,Elmore_Alabama,0.021
1053,Escambia_Alabama,0.038
1055,Etowah_Alabama,0.167
1057,Fayette_Alabama,0.003
1059,Franklin_Alabama,0.009
1061,Geneva_Alabama,0.014
1063,Greene_Alabama,0.51
1065,Hale_Alabama,0.028
1067,Henry_Alabama,0.012
1069,Houston_Alabama,0.206
1071,Jackson_Alabama,0.199
1073,Jefferson_Alabama,0.038
1075,Lamar_Alabama,0.003
1077,Lauderdale_Alabama,0.016
1079,Lawrence_Alabama,0.012
1081,Lee_Alabama,0.023
1083,Limestone_Alabama,3.409
1085,Lowndes_Alabama,0.016
1087,Macon_Alabama,0.014
1089,Madison_Alabama,0.063
1091,Marengo_Alabama,0.025
1093,Marion_Alabama,0.007
1095,Marshall_Alabama,0.03
1097,Mobile_Alabama,0.465
1099,Monroe_Alabama,0.043
1101,Montgomery_Alabama,0.043
1103,Morgan_Alabama,0.145
1105,Perry_Alabama,0.009
1107,Pickens_Alabama,0.006
1109,Pike_Alabama,0.01
1111,Randolph_Alabama,0.003
1113,Russell_Alabama,0.054
1115,St. Clair_Alabama,0.021
1117,Shelby_Alabama,0.486
1119,Sumter_Alabama,0.011
1121,Talladega_Alabama,0.056
1123,Tallapoosa_Alabama,0.013
1125,Tuscaloosa_Alabama,0.023
1127,Walker_Alabama,0.598
1129,Washington_Alabama,0.046
1131,Wilcox_Alabama,0.024
1133,Winston_Alabama,0.002
4001,Apache_Arizona,0.021
4003,Cochise_Arizona,0.537
4005,Coconino_Arizona,0.02
4007,Gila_Arizona,0.03
4009,Graham_Arizona,0.319
4011,Greenlee_Arizona,0.035
4012,La Paz_Arizona,30.85
4013,Maricopa_Arizona,10.845
4015,Mohave_Arizona,0.342
4017,Navajo_Arizona,0.05
4019,Pima_Arizona,1.248
4021,Pinal_Arizona,4.227
4023,Santa Cruz_Arizona,0.126
4025,Yavapai_Arizona,0.132
4027,Yuma_Arizona,52.476
5001,Arkansas_Arkansas,1.184
5003,Ashley_Arkansas,0.153
5005,Baxter_Arkansas,0.006
5007,Benton_Arkansas,0.323
5009,Boone_Arkansas,0.003
5011,Bradley_Arkansas,0.001
5013,Calhoun_Arkansas,0
5015,Carroll_Arkansas,0.012
5017,Chicot_Arkansas,0.295
5019,Clark_Arkansas,0.005
5021,Clay_Arkansas,0.962
5023,Cleburne_Arkansas,0.013
5025,Cleveland_Arkansas,0.001
5027,Columbia_Arkansas,0.004
5029,Conway_Arkansas,0.016
5031,Craighead_Arkansas,0.548
5033,Crawford_Arkansas,0.029
5035,Crittenden_Arkansas,0.331
5037,Cross_Arkansas,0.72
5039,Dallas_Arkansas,0
5041,Desha_Arkansas,0.594
5043,Drew_Arkansas,0.044
5045,Faulkner_Arkansas,0.006
5047,Franklin_Arkansas,0.007
5049,Fulton_Arkansas,0.098
5051,Garland_Arkansas,0.016
5053,Grant_Arkansas,0.002
5055,Greene_Arkansas,0.49
5057,Hempstead_Arkansas,0.006
5059,Hot Spring_Arkansas,0.071
5061,Howard_Arkansas,0.007
5063,Independence_Arkansas,0.144
5065,Izard_Arkansas,0.002
5067,Jackson_Arkansas,0.669
5069,Jefferson_Arkansas,0.273
5071,Johnson_Arkansas,0.004
5073,Lafayette_Arkansas,0.018
5075,Lawrence_Arkansas,0.311
5077,Lee_Arkansas,0.411
5079,Lincoln_Arkansas,0.313
5081,Little River_Arkansas,0.051
5083,Logan_Arkansas,0.004
5085,Lonoke_Arkansas,0.762
5087,Madison_Arkansas,0.001
5089,Marion_Arkansas,0.002
5091,Miller_Arkansas,0.001
5093,Mississippi_Arkansas,0.041
5095,Monroe_Arkansas,0.381
5097,Montgomery_Arkansas,0.001
5099,Nevada_Arkansas,0.001
5101,Newton_Arkansas,0
5103,Ouachita_Arkansas,0.014
5105,Perry_Arkansas,0.002
5107,Phillips_Arkansas,0.276
5109,Pike_Arkansas,0.001
5111,Poinsett_Arkansas,0.97
5113,Polk_Arkansas,0.002
5115,Pope_Arkansas,0.64
5117,Prairie_Arkansas,0.563
5119,Pulaski_Arkansas,0.076
5121,Randolph_Arkansas,0.203
5123,St. Francis_Arkansas,0.435
5125,Saline_Arkansas,0.03
5127,Scott_Arkansas,0.002
5129,Searcy_Arkansas,0.001
5131,Sebastian_Arkansas,0.002
5133,Sevier_Arkansas,0.002
5135,Sharp_Arkansas,0.002
5137,Stone_Arkansas,0.003
5139,Union_Arkansas,0.009
5141,Van Buren_Arkansas,0.002
5143,Washington_Arkansas,0.002
5145,White_Arkansas,0.088
5147,Woodruff_Arkansas,0.601
5149,Yell_Arkansas,0.004
6001,Alameda_California,1.341
6003,Alpine_California,0.016
6005,Amador_California,0.088
6007,Butte_California,0.775
6009,Calaveras_California,0.022
6011,Colusa_California,2.014
6013,Contra Costa_California,1.652
6015,Del Norte_California,0.008
6017,El Dorado_California,0.034
6019,Fresno_California,1.142
6021,Glenn_California,1.231
6023,Humboldt_California,0.013
6025,Imperial_California,263.062
6027,Inyo_California,0.079
6029,Kern_California,3.14
6031,Kings_California,22.944
6033,Lake_California,0.072
6035,Lassen_California,0.058
6037,Los Angeles_California,22.543
6039,Madera_California,0.904
6041,Marin_California,0.373
6043,Mariposa_California,0.022
6045,Mendocino_California,0.025
6047,Merced_California,4.306
6049,Modoc_California,0.098
6051,Mono_California,0.07
6053,Monterey_California,0.586
6055,Napa_California,0.478
6057,Nevada_California,0.069
6059,Orange_California,37.974
6061,Placer_California,0.148
6063,Plumas_California,0.057
6065,Riverside_California,11.946
6067,Sacramento_California,2.877
6069,San Benito_California,0.28
6071,San Bernardino_California,1.584
6073,San Diego_California,2.964
6075,San Francisco_California,5.479
6077,San Joaquin_California,3.826
6079,San Luis Obispo_California,1.396
6081,San Mateo_California,0.779
6083,Santa Barbara_California,1.568
6085,Santa Clara_California,0.778
6087,Santa Cruz_California,0.392
6089,Shasta_California,0.073
6091,Sierra_California,0.032
6093,Siskiyou_California,0.037
6095,Solano_California,2.185
6097,Sonoma_California,0.328
6099,Stanislaus_California,3.556
6101,Sutter_California,4.34
6103,Tehama_California,0.315
6105,Trinity_California,0.006
6107,Tulare_California,1.17
6109,Tuolumne_California,0.013
6111,Ventura_California,4.549
6113,Yolo_California,2.474
6115,Yuba_California,0.765
8001,Adams_Colorado,0.451
8003,Alamosa_Colorado,1.961
8005,Arapahoe_Colorado,0.56
8007,Archuleta_Colorado,0.046
8009,Baca_Colorado,0.217
8011,Bent_Colorado,0.681
8013,Boulder_Colorado,0.321
8014,Broomfield_Colorado,0.346
8015,Chaffee_Colorado,0.32
8017,Cheyenne_Colorado,0.079
8019,Clear Creek_Colorado,0.006
