FID,FID_1,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,County_Sta,Count_
0,0,29,227,758566,0500000US29227,29227,Worth,Worth_Missouri,0
1,1,31,61,835852,0500000US31061,31061,Franklin,Franklin_Nebraska,0
2,2,36,13,974105,0500000US36013,36013,Chautauqua,Chautauqua_New York,133
3,3,37,181,1008591,0500000US37181,37181,Vance,Vance_North Carolina,1
4,4,47,183,1639799,0500000US47183,47183,Weakley,Weakley_Tennessee,1
5,5,44,3,1219778,0500000US44003,44003,Kent,Kent_Rhode Island,6
6,6,8,101,198166,0500000US08101,8101,Pueblo,Pueblo_Colorado,3
7,7,17,175,424288,0500000US17175,17175,Stark,Stark_Illinois,0
8,8,29,169,758539,0500000US29169,29169,Pulaski,Pulaski_Missouri,0
9,9,19,151,465264,0500000US19151,19151,Pocahontas,Pocahontas_Iowa,0
10,10,22,39,558551,0500000US22039,22039,Evangeline,Evangeline_Louisiana,1
11,11,28,49,695748,0500000US28049,28049,Hinds,Hinds_Mississippi,2
12,12,28,81,695764,0500000US28081,28081,Lee,Lee_Mississippi,0
13,13,29,117,758513,0500000US29117,29117,Livingston,Livingston_Missouri,0
14,14,21,83,516888,0500000US21083,21083,Graves,Graves_Kentucky,0
15,15,28,37,695743,0500000US28037,28037,Franklin,Franklin_Mississippi,1
16,16,40,49,1101812,0500000US40049,40049,Garvin,Garvin_Oklahoma,0
17,17,47,83,1648578,0500000US47083,47083,Houston,Houston_Tennessee,0
18,18,48,189,1383880,0500000US48189,48189,Hale,Hale_Texas,1
19,19,51,830,1789076,0500000US51830,51830,Williamsburg,Williamsburg_Virginia,1
20,20,51,595,1498422,0500000US51595,51595,Emporia,Emporia_Virginia,0
21,21,51,169,1498172,0500000US51169,51169,Scott,Scott_Virginia,1
22,22,55,69,1581094,0500000US55069,55069,Lincoln,Lincoln_Wisconsin,1
23,23,35,43,929113,0500000US35043,35043,Sandoval,Sandoval_New Mexico,0
24,24,27,65,659478,0500000US27065,27065,Kanabec,Kanabec_Minnesota,0
25,25,13,321,343365,0500000US13321,13321,Worth,Worth_Georgia,0
26,26,37,145,1008577,0500000US37145,37145,Person,Person_North Carolina,0
27,27,31,35,835839,0500000US31035,31035,Clay,Clay_Nebraska,0
28,28,31,169,835906,0500000US31169,31169,Thayer,Thayer_Nebraska,0
29,29,54,83,1550048,0500000US54083,54083,Randolph,Randolph_West Virginia,9
30,30,47,77,1639754,0500000US47077,47077,Henderson,Henderson_Tennessee,4
31,31,48,263,1383917,0500000US48263,48263,Kent,Kent_Texas,0
32,32,12,81,295744,0500000US12081,12081,Manatee,Manatee_Florida,24
33,33,16,27,399406,0500000US16027,16027,Canyon,Canyon_Idaho,0
34,34,17,69,424236,0500000US17069,17069,Hardin,Hardin_Illinois,0
35,35,21,117,516905,0500000US21117,21117,Kenton,Kenton_Kentucky,4
36,36,22,91,1629457,0500000US22091,22091,St. Helena,St. Helena_Louisiana,0
37,37,27,133,659512,0500000US27133,27133,Rock,Rock_Minnesota,5
38,38,29,119,758518,0500000US29119,29119,McDonald,McDonald_Missouri,0
39,39,40,25,1101800,0500000US40025,40025,Cimarron,Cimarron_Oklahoma,0
40,40,39,69,1074047,0500000US39069,39069,Henry,Henry_Ohio,0
41,41,47,151,1639788,0500000US47151,47151,Scott,Scott_Tennessee,1
42,42,6,11,1675902,0500000US06011,6011,Colusa,Colusa_California,0
43,43,13,63,1672399,0500000US13063,13063,Clayton,Clayton_Georgia,0
44,44,13,57,1685718,0500000US13057,13057,Cherokee,Cherokee_Georgia,6
45,45,18,65,450359,0500000US18065,18065,Henry,Henry_Indiana,0
46,46,20,101,485015,0500000US20101,20101,Lane,Lane_Kansas,0
47,47,21,215,516954,0500000US21215,21215,Spencer,Spencer_Kentucky,0
48,48,19,37,465208,0500000US19037,19037,Chickasaw,Chickasaw_Iowa,0
49,49,27,5,659448,0500000US27005,27005,Becker,Becker_Minnesota,0
50,50,29,85,758497,0500000US29085,29085,Hickory,Hickory_Missouri,0
51,51,27,61,659476,0500000US27061,27061,Itasca,Itasca_Minnesota,7
52,52,36,37,974117,0500000US36037,36037,Genesee,Genesee_New York,3
53,53,31,143,835893,0500000US31143,31143,Polk,Polk_Nebraska,0
54,54,40,97,1101833,0500000US40097,40097,Mayes,Mayes_Oklahoma,0
55,55,46,25,1266985,0500000US46025,46025,Clark,Clark_South Dakota,0
56,56,48,499,1384035,0500000US48499,48499,Wood,Wood_Texas,3
57,57,48,393,1383982,0500000US48393,48393,Roberts,Roberts_Texas,0
58,58,54,105,1678877,0500000US54105,54105,Wirt,Wirt_West Virginia,0
59,59,18,95,450370,0500000US18095,18095,Madison,Madison_Indiana,0
60,60,1,59,161555,0500000US01059,1059,Franklin,Franklin_Alabama,0
61,61,6,75,277302,0500000US06075,6075,San Francisco,San Francisco_California,132
62,62,13,47,353230,0500000US13047,13047,Catoosa,Catoosa_Georgia,1
63,63,19,191,465284,0500000US19191,19191,Winneshiek,Winneshiek_Iowa,1
64,64,28,93,695770,0500000US28093,28093,Marshall,Marshall_Mississippi,0
65,65,28,87,695767,0500000US28087,28087,Lowndes,Lowndes_Mississippi,0
66,66,29,181,758545,0500000US29181,29181,Ripley,Ripley_Missouri,0
67,67,36,115,974155,0500000US36115,36115,Washington,Washington_New York,2
68,68,46,27,1265764,0500000US46027,46027,Clay,Clay_South Dakota,0
69,69,53,71,1531819,0500000US53071,53071,Walla Walla,Walla Walla_Washington,0
70,70,8,87,198159,0500000US08087,8087,Morgan,Morgan_Colorado,0
71,71,17,53,424228,0500000US17053,17053,Ford,Ford_Illinois,0
72,72,19,103,465240,0500000US19103,19103,Johnson,Johnson_Iowa,0
73,73,20,15,484977,0500000US20015,20015,Butler,Butler_Kansas,0
74,74,21,149,516927,0500000US21149,21149,McLean,McLean_Kentucky,0
75,75,22,43,558567,0500000US22043,22043,Grant,Grant_Louisiana,4
76,76,28,137,695789,0500000US28137,28137,Tate,Tate_Mississippi,0
77,77,28,17,695733,0500000US28017,28017,Chickasaw,Chickasaw_Mississippi,0
78,78,36,99,974147,0500000US36099,36099,Seneca,Seneca_New York,2
79,79,28,29,695739,0500000US28029,28029,Copiah,Copiah_Mississippi,0
80,80,42,75,1214034,0500000US42075,42075,Lebanon,Lebanon_Pennsylvania,3
81,81,48,353,1383962,0500000US48353,48353,Nolan,Nolan_Texas,1
82,82,51,775,1789074,0500000US51775,51775,Salem,Salem_Virginia,2
83,83,54,31,1718557,0500000US54031,54031,Hardy,Hardy_West Virginia,1
84,84,1,29,161540,0500000US01029,1029,Cleburne,Cleburne_Alabama,7
85,85,55,77,1581098,0500000US55077,55077,Marquette,Marquette_Wisconsin,2
86,86,35,15,936829,0500000US35015,35015,Eddy,Eddy_New Mexico,4
