population_2019,STATEFP,COUNTYFP
7737.0,17,051
10797.0,17,107
9972.0,17,165
246122.0,17,097
5822.0,17,127
5043.0,17,017
14742.0,18,069
9879.0,18,181
8174.0,18,075
17823.0,18,145
7644.0,18,153
70526.0,18,157
119789.0,18,057
31452.0,18,005
7799.0,18,049
18276.0,18,113
44200.0,18,019
59015.0,18,063
26372.0,18,053
16753.0,18,071
8776.0,18,119
13742.0,18,183
12033.0,18,023
2823.0,18,161
18870.0,18,029
18781.0,18,093
7615.0,18,123
10155.0,18,129
8002.0,18,015
6974.0,18,045
8549.0,18,149
12781.0,18,055
10306.0,19,011
38210.0,19,061
3215.0,19,151
2894.0,19,177
2649.0,19,009
3176.0,19,051
3011.0,19,093
3294.0,19,135
12248.0,19,167
4146.0,19,025
19241.0,19,033
7148.0,19,083
3701.0,19,117
3702.0,19,147
7743.0,19,087
14574.0,19,099
7767.0,19,157
7510.0,19,043
9676.0,19,017
4036.0,19,063
4790.0,19,081
8239.0,19,097
14233.0,19,111
19258.0,19,181
8927.0,19,123
7212.0,19,041
6907.0,19,055
3874.0,13,005
6823.0,13,025
6443.0,13,017
8193.0,13,033
24778.0,13,047
2570.0,13,053
9260.0,13,055
47215.0,13,073
10084.0,13,087
35679.0,13,115
76753.0,13,117
15139.0,13,137
9853.0,13,147
41282.0,13,185
6042.0,13,191
8051.0,13,199
9760.0,13,207
8937.0,13,237
11510.0,13,261
2244.0,13,301
2689.0,19,185
67021.0,19,163
2544.0,20,181
3375.0,20,193
2280.0,20,127
2176.0,20,163
2265.0,20,077
13569.0,20,111
2448.0,20,145
13290.0,20,079
12334.0,20,113
5204.0,5,041
4973.0,5,049
5142.0,5,061
40209.0,5,051
16389.0,5,093
22579.0,5,115
3776.0,5,117
15726.0,5,139
2932.0,5,147
10783.0,5,023
3217.0,5,025
6137.0,5,067
8094.0,5,057
7447.0,5,135
4787.0,5,137
87325.0,5,143
18435.0,5,005
7757.0,5,003
41375.0,5,031
17254.0,5,055
3668.0,5,105
9526.0,5,111
5885.0,5,133
1850.0,5,013
8446.0,5,019
6463.0,5,075
3333.0,5,095
8309.0,5,029
2936.0,5,101
7491.0,5,001
26895.0,5,085
11139.0,5,015
9388.0,5,123
158051.0,5,119
80008.0,6,047
7643.0,6,043
3616.0,6,049
394769.0,6,013
7950.0,6,027
173898.0,6,099
145856.0,6,083
24189.0,6,103
4765.0,6,051
18135.0,6,069
13048.0,13,029
8279.0,13,035
19338.0,13,039
4510.0,13,079
4074.0,13,099
14438.0,13,069
52035.0,13,077
12021.0,13,123
31670.0,13,297
3979.0,13,317
7628.0,13,091
20561.0,13,129
88137.0,13,057
40285.0,13,113
10226.0,13,177
11868.0,13,227
7132.0,13,133
6217.0,13,075
9041.0,13,085
410576.0,13,121
69453.0,15,001
312795.0,15,003
22658.0,15,007
7711.0,16,031
1724.0,16,063
3869.0,16,085
4397.0,16,041
16384.0,16,069
62304.0,16,055
7250.0,16,067
31146.0,16,083
7995.0,16,013
3205.0,16,015
5469.0,16,047
173353.0,16,001
2424.0,16,007
14989.0,16,011
3555.0,16,035
8791.0,16,051
152312.0,41,039
2730.0,51,181
5612.0,51,043
12075.0,51,117
29539.0,51,015
8506.0,51,075
4949.0,51,113
38222.0,51,161
6037.0,51,025
5148.0,51,131
9248.0,51,163
7036.0,51,570
2367.0,51,021
13264.0,51,023
7334.0,51,520
4706.0,51,830
12357.0,51,035
543025.0,6,067
70974.0,6,017
127155.0,6,053
362354.0,6,075
1125286.0,6,073
138238.0,6,107
54679.0,6,023
44881.0,6,039
95818.0,6,087
5939.0,6,105
724893.0,6,065
636041.0,6,071
105432.0,6,041
142855.0,6,061
71181.0,6,089
149865.0,6,095
7227.0,6,011
9414.0,28,029
88611.0,28,049
9808.0,28,145
7834.0,28,139
28086.0,28,035
18721.0,28,071
22436.0,28,087
3170.0,28,157
4713.0,28,065
10180.0,28,123
8542.0,28,163
12111.0,28,011
14404.0,28,113
6334.0,28,131
3611.0,28,069
8322.0,28,133
11237.0,28,001
62890.0,28,033
207257.0,42,045
29644.0,42,111
5044.0,29,123
8207.0,29,217
8395.0,29,147
2686.0,29,041
5426.0,29,223
15230.0,29,201
4895.0,29,011
5842.0,29,039
6076.0,29,073
5845.0,29,121
4249.0,29,149
7121.0,29,186
5137.0,29,067
9328.0,29,083
14787.0,29,109
15154.0,29,169
9728.0,29,215
15973.0,29,027
6397.0,29,053
2555.0,29,075
22321.0,51,191
9286.0,51,139
70598.0,51,510
54050.0,51,650
107032.0,51,013
8569.0,51,027
47075.0,51,179
90301.0,51,760
4555.0,51,057
16531.0,51,185
4641.0,51,685
3794.0,51,183
12898.0,51,683
9912.0,51,775
4661.0,51,037
3647.0,51,081
109983.0,53,067
,72,059
,72,121
,72,067
,72,141
,72,054
,72,099
,72,123
5026.0,29,133
3958.0,29,153
4593.0,29,017
67089.0,47,165
3189.0,47,169
3039.0,47,027
5959.0,17,139
6309.0,17,149
104105.0,17,163
9189.0,17,173
82369.0,17,019
5771.0,17,053
179637.0,17,089
40721.0,17,093
2055.0,17,009
15946.0,17,121
5977.0,17,125
11741.0,17,075
5696.0,17,025
2293.0,17,059
13586.0,17,133
6654.0,17,181
114779.0,17,201
2095.0,17,153
2775.0,17,169
7542.0,17,045
18571.0,17,007
13698.0,17,011
20926.0,17,029
7666.0,17,033
2413.0,17,155
6694.0,17,039
13788.0,17,103
18875.0,17,117
6452.0,17,159
6020.0,17,189
219053.0,41,067
15800.0,41,007
238830.0,42,017
138714.0,42,077
16021.0,42,031
14230.0,42,059
128660.0,42,079
26372.0,42,037
18427.0,42,065
18231.0,42,099
2723.0,42,113
69422.0,44,003
49102.0,44,009
14810.0,45,071
13161.0,45,027
41776.0,45,085
8360.0,45,011
26484.0,45,031
101211.0,45,091
20699.0,45,021
10269.0,45,053
6423.0,45,061
9660.0,45,001
10085.0,6,021
85320.0,6,007
43452.0,6,031
8450.0,6,063
105981.0,6,079
307906.0,6,019
270282.0,6,029
1037492.0,6,059
271040.0,6,111
16942.0,6,009
32636.0,6,101
263543.0,6,081
22502.0,6,109
228567.0,6,077
14594.0,6,005
5858.0,8,007
301501.0,8,031
3225.0,8,055
2802.0,8,047
3004.0,8,063
6616.0,8,051
104671.0,8,123
120709.0,8,035
3392.0,8,065
21794.0,8,067
7467.0,8,097
4823.0,8,105
1767.0,8,011
1301.0,8,025
137021.0,8,069
8393.0,8,075
3552.0,8,113
10248.0,8,119
9280.0,8,039
6670.0,8,071
1518.0,8,073
10641.0,8,117
6162.0,8,003
11883.0,8,029
17136.0,8,043
17140.0,8,085
10928.0,8,087
2860.0,8,109
4888.0,8,099
5884.0,8,049
7722.0,8,089
27470.0,8,014
91697.0,10,005
284386.0,11,001
330572.0,9,009
350408.0,9,003
351194.0,47,157
10711.0,47,077
20154.0,47,089
5528.0,47,153
10962.0,47,017
282366.0,47,037
3073.0,47,135
4938.0,47,121
7181.0,47,075
72617.0,47,125
4820.0,47,061
14060.0,47,029
7704.0,47,041
4715.0,47,101
12717.0,47,131
21452.0,47,167
15120.0,47,045
145213.0,47,065
7383.0,47,139
10048.0,47,185
66511.0,47,163
12559.0,36,095
22557.0,36,035
64906.0,36,083
19015.0,36,033
778932.0,36,081
24014.0,36,115
759460.0,36,061
31221.0,36,011
100438.0,36,087
88519.0,36,063
15790.0,36,031
446977.0,36,059
7324.0,36,097
20697.0,36,017
42734.0,36,045
489301.0,36,103
15917.0,36,121
46079.0,36,075
36720.0,36,117
78549.0,36,007
389585.0,36,029
28184.0,36,105
128016.0,36,071
26653.0,37,087
146816.0,37,067
186731.0,18,089
15382.0,18,107
12481.0,18,001
9584.0,18,041
10543.0,18,021
16893.0,18,037
8687.0,18,047
28740.0,18,059
34701.0,18,067
2555.0,18,115
6057.0,18,121
10229.0,18,135
3432.0,18,007
6189.0,18,013
13543.0,18,133
10940.0,18,175
11227.0,18,027
18304.0,18,065
15038.0,18,083
51003.0,18,095
5129.0,18,125
5151.0,18,131
14261.0,18,151
39683.0,56,021
9019.0,56,039
10043.0,48,407
14108.0,48,459
15171.0,48,473
15733.0,48,493
7997.0,48,219
56998.0,48,329
8678.0,48,299
12453.0,48,147
79412.0,48,041
5812.0,48,165
7884.0,48,179
3168.0,48,237
7211.0,48,035
636245.0,48,029
290229.0,48,121
121438.0,48,167
8841.0,48,463
34076.0,48,037
3123.0,48,425
20626.0,48,199
6443.0,48,289
5315.0,48,351
3518.0,48,389
472361.0,48,453
13595.0,48,143
3423.0,48,083
15682.0,48,325
30757.0,48,213
19793.0,48,277
12625.0,48,477
3247.0,48,429
5573.0,48,003
7364.0,48,177
2154.0,48,305
4503.0,48,505
22152.0,48,221
18138.0,48,073
1999.0,48,119
5696.0,48,253
44953.0,9,015
107827.0,9,011
66971.0,9,007
55683.0,9,013
340189.0,9,001
8827.0,12,133
359544.0,12,031
9115.0,12,007
230417.0,12,009
74333.0,12,019
2175.0,12,067
134317.0,12,069
32603.0,12,089
407546.0,12,103
235283.0,12,105
114761.0,12,111
4700.0,12,043
12527.0,12,051
58612.0,12,061
17149.0,12,063
88773.0,12,109
173668.0,12,117
71422.0,12,005
42121.0,12,035
5757.0,12,045
2459.0,12,077
103141.0,12,097
27420.0,12,131
17149.0,12,039
5770.0,12,065
139172.0,12,083
7863.0,12,049
13904.0,12,093
461705.0,12,095
6464.0,12,041
14888.0,12,121
97995.0,12,001
4501.0,12,013
