'state_id','county_id','value','start_date','end_date','source','dataset'),
(29,227,7.86,'2015-01-01','2015-12-31',12,69),
(31,61,6.26,'2015-01-01','2015-12-31',12,69),
(36,13,7.82,'2015-01-01','2015-12-31',12,69),
(37,181,8.84,'2015-01-01','2015-12-31',12,69),
(47,183,8.3,'2015-01-01','2015-12-31',12,69),
(44,3,6.61,'2015-01-01','2015-12-31',12,69),
(8,101,6.33,'2015-01-01','2015-12-31',12,69),
(17,175,9.0,'2015-01-01','2015-12-31',12,69),
(29,169,7.4,'2015-01-01','2015-12-31',12,69),
(19,151,6.94,'2015-01-01','2015-12-31',12,69),
(22,39,9.28,'2015-01-01','2015-12-31',12,69),
(28,49,8.98,'2015-01-01','2015-12-31',12,69),
(28,81,9.61,'2015-01-01','2015-12-31',12,69),
(29,117,7.92,'2015-01-01','2015-12-31',12,69),
(21,83,9.18,'2015-01-01','2015-12-31',12,69),
(28,37,8.48,'2015-01-01','2015-12-31',12,69),
(40,49,6.75,'2015-01-01','2015-12-31',12,69),
(47,83,7.08,'2015-01-01','2015-12-31',12,69),
(48,189,7.96,'2015-01-01','2015-12-31',12,69),
(51,830,7.47,'2015-01-01','2015-12-31',12,69),
(51,595,9.1,'2015-01-01','2015-12-31',12,69),
(51,169,7.85,'2015-01-01','2015-12-31',12,69),
(55,69,5.92,'2015-01-01','2015-12-31',12,69),
(35,43,4.88,'2015-01-01','2015-12-31',12,69),
(27,65,6.18,'2015-01-01','2015-12-31',12,69),
(13,321,9.27,'2015-01-01','2015-12-31',12,69),
(37,145,8.68,'2015-01-01','2015-12-31',12,69),
(31,35,7.02,'2015-01-01','2015-12-31',12,69),
(31,169,6.92,'2015-01-01','2015-12-31',12,69),
(54,83,6.68,'2015-01-01','2015-12-31',12,69),
(47,77,7.99,'2015-01-01','2015-12-31',12,69),
(48,263,5.96,'2015-01-01','2015-12-31',12,69),
(12,81,5.86,'2015-01-01','2015-12-31',12,69),
(16,27,7.81,'2015-01-01','2015-12-31',12,69),
(17,69,8.57,'2015-01-01','2015-12-31',12,69),
(21,117,9.29,'2015-01-01','2015-12-31',12,69),
(22,91,9.0,'2015-01-01','2015-12-31',12,69),
(27,133,8.13,'2015-01-01','2015-12-31',12,69),
