'state_id','county_id','value','start_date','end_date','source','dataset'),
(1,1,157.0,'2016-01-01','2016-12-31',13,73),
(1,3,631.0,'2016-01-01','2016-12-31',13,73),
(1,5,81.0,'2016-01-01','2016-12-31',13,73),
(1,7,73.0,'2016-01-01','2016-12-31',13,73),
(1,9,184.0,'2016-01-01','2016-12-31',13,73),
(1,11,10.0,'2016-01-01','2016-12-31',13,73),
(1,13,95.0,'2016-01-01','2016-12-31',13,73),
(1,15,516.0,'2016-01-01','2016-12-31',13,73),
(1,17,131.0,'2016-01-01','2016-12-31',13,73),
(1,19,100.0,'2016-01-01','2016-12-31',13,73),
(1,21,181.0,'2016-01-01','2016-12-31',13,73),
(1,23,69.0,'2016-01-01','2016-12-31',13,73),
(1,25,107.0,'2016-01-01','2016-12-31',13,73),
(1,27,60.0,'2016-01-01','2016-12-31',13,73),
(1,29,62.0,'2016-01-01','2016-12-31',13,73),
(1,31,167.0,'2016-01-01','2016-12-31',13,73),
(1,33,207.0,'2016-01-01','2016-12-31',13,73),
(1,35,45.0,'2016-01-01','2016-12-31',13,73),
(1,37,36.0,'2016-01-01','2016-12-31',13,73),
(1,39,161.0,'2016-01-01','2016-12-31',13,73),
(1,41,46.0,'2016-01-01','2016-12-31',13,73),
(1,43,316.0,'2016-01-01','2016-12-31',13,73),
(1,45,171.0,'2016-01-01','2016-12-31',13,73),
(1,47,197.0,'2016-01-01','2016-12-31',13,73),
(1,49,254.0,'2016-01-01','2016-12-31',13,73),
(1,51,225.0,'2016-01-01','2016-12-31',13,73),
(1,53,154.0,'2016-01-01','2016-12-31',13,73),
(1,55,455.0,'2016-01-01','2016-12-31',13,73),
(1,57,60.0,'2016-01-01','2016-12-31',13,73),
(1,59,113.0,'2016-01-01','2016-12-31',13,73),
(1,61,117.0,'2016-01-01','2016-12-31',13,73),
(1,63,11.0,'2016-01-01','2016-12-31',13,73),
(1,65,61.0,'2016-01-01','2016-12-31',13,73),
(1,67,62.0,'2016-01-01','2016-12-31',13,73),
(1,69,406.0,'2016-01-01','2016-12-31',13,73),
(1,71,246.0,'2016-01-01','2016-12-31',13,73),
(1,73,2011.0,'2016-01-01','2016-12-31',13,73),
(1,75,58.0,'2016-01-01','2016-12-31',13,73),
(1,77,368.0,'2016-01-01','2016-12-31',13,73),
(1,79,141.0,'2016-01-01','2016-12-31',13,73),
(1,81,270.0,'2016-01-01','2016-12-31',13,73),
(1,83,240.0,'2016-01-01','2016-12-31',13,73),
(1,85,24.0,'2016-01-01','2016-12-31',13,73),
(1,87,90.0,'2016-01-01','2016-12-31',13,73),
(1,89,984.0,'2016-01-01','2016-12-31',13,73),
(1,91,107.0,'2016-01-01','2016-12-31',13,73),
(1,93,152.0,'2016-01-01','2016-12-31',13,73),
(1,95,374.0,'2016-01-01','2016-12-31',13,73),
(1,97,1459.0,'2016-01-01','2016-12-31',13,73),
(1,99,67.0,'2016-01-01','2016-12-31',13,73),
(1,101,655.0,'2016-01-01','2016-12-31',13,73),
(1,103,442.0,'2016-01-01','2016-12-31',13,73),
(1,105,11.0,'2016-01-01','2016-12-31',13,73),
(1,107,72.0,'2016-01-01','2016-12-31',13,73),
(1,109,84.0,'2016-01-01','2016-12-31',13,73),
(1,111,108.0,'2016-01-01','2016-12-31',13,73),
(1,113,183.0,'2016-01-01','2016-12-31',13,73),
(1,115,281.0,'2016-01-01','2016-12-31',13,73),
(1,117,473.0,'2016-01-01','2016-12-31',13,73),
(1,119,38.0,'2016-01-01','2016-12-31',13,73),
(1,121,317.0,'2016-01-01','2016-12-31',13,73),
(1,123,170.0,'2016-01-01','2016-12-31',13,73),
(1,125,563.0,'2016-01-01','2016-12-31',13,73),
(1,127,374.0,'2016-01-01','2016-12-31',13,73),
(1,129,51.0,'2016-01-01','2016-12-31',13,73),
(1,131,33.0,'2016-01-01','2016-12-31',13,73),
(1,133,90.0,'2016-01-01','2016-12-31',13,73),
(2,20,379.0,'2016-01-01','2016-12-31',13,73),
(2,90,107.0,'2016-01-01','2016-12-31',13,73),
(2,110,52.0,'2016-01-01','2016-12-31',13,73),
(2,122,119.0,'2016-01-01','2016-12-31',13,73),
(2,170,151.0,'2016-01-01','2016-12-31',13,73),
(4,1,128.0,'2016-01-01','2016-12-31',13,73),
(4,3,372.0,'2016-01-01','2016-12-31',13,73),
(4,5,196.0,'2016-01-01','2016-12-31',13,73),
(4,7,255.0,'2016-01-01','2016-12-31',13,73),
(4,9,76.0,'2016-01-01','2016-12-31',13,73),
(4,12,79.0,'2016-01-01','2016-12-31',13,73),
(4,13,8495.0,'2016-01-01','2016-12-31',13,73),
(4,15,1125.0,'2016-01-01','2016-12-31',13,73),
(4,17,238.0,'2016-01-01','2016-12-31',13,73),
(4,19,2793.0,'2016-01-01','2016-12-31',13,73),
(4,21,828.0,'2016-01-01','2016-12-31',13,73),
(4,23,86.0,'2016-01-01','2016-12-31',13,73),
(4,25,818.0,'2016-01-01','2016-12-31',13,73),
(4,27,479.0,'2016-01-01','2016-12-31',13,73),
(5,1,91.0,'2016-01-01','2016-12-31',13,73),
(5,3,69.0,'2016-01-01','2016-12-31',13,73),
(5,5,189.0,'2016-01-01','2016-12-31',13,73),
(5,7,515.0,'2016-01-01','2016-12-31',13,73),
(5,9,180.0,'2016-01-01','2016-12-31',13,73),
(5,11,32.0,'2016-01-01','2016-12-31',13,73),
(5,15,109.0,'2016-01-01','2016-12-31',13,73),
(5,17,27.0,'2016-01-01','2016-12-31',13,73),
(5,19,75.0,'2016-01-01','2016-12-31',13,73),
(5,21,63.0,'2016-01-01','2016-12-31',13,73),
