Latitude	Longitude	Median Depth 4Th	County	Facility ID	Facility Name	Max Depth 4Th	Parent Name	Street
32.748316	-91.170707	519	EAST CARROLL PARISH	7125WMYRNT525PR	MYRIANT CORP	850	MYRIANT CORP	525 PORT RD
29.775416	-91.734954	458	ST MARY PARISH	70562SHLND2MILE	ORION ENGINEERED CARBONS-IVANHOE CARBON BLACK PLANT	516		7095 LA HWY 83
29.939266	-90.348408	449.5	ST CHARLES PARISH	70047BNGCR12466	BUNGE NA INC	599	BUNGE N.A. INC	12466 RIVER RD
29.769207	-93.34096	422	CAMERON PARISH	7063WMRTNP332DA	MARTIN OPERATING PTNR - CAMERON 7	502	MARTIN OPERATING PTNR LP	332 DAVIS RD
29.41411	-90.702335	409	TERREBONNE PARISH	70353ZPTHY6780S	ZAPATA PROTEIN (USA) INC.	466	ZAPATA CORP	6780 SHRIMPERS ROW
29.655411	-92.370809	391	VERMILION PARISH	7054WFRSHW41937	FRESHWATER CITY DOCK	413	MARTIN MIDSTREAM PTNRS LP	41937 LA HWY 3147
29.814412	-91.823746	388	IBERIA PARISH	70560MRTNSHIGHW	MORTON INTERNATIONAL MORTON SALT DIV	495	MORTON INTERNATIONAL INC	11217 MORTON RD
29.800386	-93.336947	388	CAMERON PARISH	70631SCSCM148MA	MARTIN OPERATING PTNR - CAMERON 6	450	MARTIN OPERATING PTNR LP	148 MARSHALL ST
29.800442	-93.339197	387	CAMERON PARISH	70631LSNMNPOGYP	LOUISIANA MENHADEN CO. INC.	449		POGY PLANT RD.
29.80472	-93.34306	379	CAMERON PARISH	70631MDSTR189AG	MIDSTREAM FUEL SERVICE LLC (CAMERON WEST)	449	MARTIN OPERATING PTNR LP	189 A GULF BCH HWY
29.937616	-91.83645	372	IBERIA PARISH	70560LBRGS5310C	OIL BARGES INC.	470	UNIFAB INTERNATIONAL INC	5310 CORNELIUS P. VOORHIES
29.9266	-91.829107	370	IBERIA PARISH	70560CHRTN3415E	CHART ENERGY & CHEMICALS INC	475	CHART INDUSTRIES INC	3415 EARL B. WILSON RD
30.07225	-89.83953	369	ORLEANS PARISH	70129NTDST19807	UNITED STATES MARINE INC.	442		19807 CHEF MENTEUR HWY
29.77086	-91.7553	369	ST MARY PARISH	70538TWNBR322TW	TWIN BROTHERS MARINE LLC	496		322 TWIN BROTHERS RD
29.786043	-92.153738	368	VERMILION PARISH	7051WMRTNP24823	MARTIN OPERATING PTNR - INTRACOASTAL CITY SR333	449	MARTIN OPERATING PTNR LP	24823 LA HWY 333
29.34266	-90.73279	358	TERREBONNE PARISH	7035WMRTNP9576G	MARTIN OPERATING PTNR - DULAC	439	MARTIN OPERATING PTNR LP	9576 GRAND CAILLOU RD
29.808828	-93.345187	357	CAMERON PARISH	70631MDSTR127WA	MARTIN OPERATING PTNR LP-CAMERON EAST	417	MARTIN MIDSTREAM PTNRS LP	127 WAKEFIELD RD
29.93877	-91.83021	356	IBERIA PARISH	70560MGNTC101IR	ARSC ENERGY SERVICES OMEGA LLC	471		4418 PESSON RD
29.93851	-91.97703	356	IBERIA PARISH	7052WSHWGL144TW	CB&I ENERGY SERVICES LLC	418	THE SHAW GROUP INC	10404 TWIN PORT RD
29.78278	-92.15667	352	VERMILION PARISH	70510MDSTR2535L	MARTIN OPERATING PTNR LP (INTRACOASTAL CITY)	449	MARTIN OPERATING PTNR LP	25305 LA HWY 333
29.55104	-90.69221	345	TERREBONNE PARISH	7036WLSHPL367DI	LASHIP LLC	426		367 DICKSON RD
29.8	-91.8	337	IBERIA PARISH	70560SDPRTLAHWY	U.S. DOE WEEKS ISLAND SPR SITE	471	US DEPARTMENT OF ENERGY	LA. HWY. 83, 14 MILES S. NEW IBERIA
29.94873	-91.85083	335	IBERIA PARISH	70560NVRSL5007P	DYNAMIC INDUSTRIES TOPSIDE WEST YARD	462		6005 PORT RD
29.53489	-90.67269	331	TERREBONNE PARISH	70363NRTHM28NAM	NORTH AMERICAN FABRICATORS LLC	426		208 AMERICAN BLVD
30.21403	-92.00355	324.5	LAFAYETTE PARISH	70501TRPPR500GU	TRAPPEY'S FINE FOODS INC.	650		500 GUIDRY ST.
29.91715	-92.111149	324	VERMILION PARISH	7051WCDNCN1712W	ACADIAN CONTRACTORS INC	373	ACADIAN CONTRACTORS INC	17102 W HWY 330
29.54405	-90.68954	320	TERREBONNE PARISH	70363DLPHN4THMP	GULF ISLAND SERVICES LLC	425	GULF ISLAND FABRICATION INC	400 THOMPSON RD
29.54296	-90.69774	320	TERREBONNE PARISH	70363GLFSL583TH	GULF ISLAND FABRICATION LLC	421	GULF ISLAND FABRICATION INC	583 THOMPSON RD
