MAX(SubmissionYear),FacilityID,FacilityNumber,FRSID,Latitude,Longitude,LLOverridden,GridCode,X,Y,LatLongSource,LLYear,LLNotes,RadialDistance,FacilityName,Street,City,County,State,ZIPCode,ZIP9,FIPS,STFIPS,DUNS,ParentDUNS,ParentName,StandardizedParentCompany,Region,FederalFacilityFlag,FederalAgencyName,PublicContactName,PublicContactPhone,PublicContactPhoneExtension,PublicContactEmail,StackHeight,StackVelocity,StackDiameter,StackTemperature,StackHeightSource,StackVelocitySource,StackDiameterSource,StackTemperatureSource,StackHeightNEIYear,StackVelocityNEIYear,StackDiameterNEIYear,StackTemperatureNEIYear,ChromHexPercent,ChromSource,NewIndustryFlag,ModeledNAICS,NAICSCode3Digit,NAICSCode4Digit,NAICSCode5Digit,NAICS1,NAICS2,NAICS3,NAICS4,NAICS5,NAICS6,SIC1,FinalReach,FinalCOMID,ReachSource,DistanceToReach,HEM3ID,DistanceToHEM3,LLConfirmed,WaterReleases,ModeledReleases,ModChromReleases,DistanceToTribalLand,TribalLandName,FullNameTribalLand
2018,7480WRPRDC541UP,47022,110041624873,27.809555,-97.457489,0,14,-178,652,FRS,2019,NULL,NULL,AIR PRODUCTS LLC,5401 UP RIVER RD,CORPUS CHRISTI,NUECES,TX,78407,78407,48355,48,NA,71461110,AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS & CHEMICALS INC,6,C,NULL,ALLEN J. HATCHER,3612892769,NULL,HATCHEAJ@AIRPRODUCTS.COM,9.4,15.2,0.3,310.9,Fac Spec,Fac Spec,Fac Spec,Fac Spec,2014,2014,2014,2014,0.25,4DigitNAICS,NULL,325120,325,3251,32512,325120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1636631,NULL,631.4604163,12924,7225.642489,NULL,NULL,1,NULL,NULL,NULL,NULL
2018,75001RBRNN4321A,47057,110005113858,32.98115,-96.83665,0,14,-96,1360,FRS,2019,NULL,NULL,AIRBORN INC,4321 AIRBORN DRIVE,ADDISON,DALLAS,TX,75001,75001,48113,48,NA,7343429,AIRBORN INC,AIRBORN INC,6,C,NULL,CHRISTOPHER J. WEGMANN,9729312898,NULL,WEGMANNC@AIRBORN.COM,10.1,8.6,0.6,310.9,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,334417,334,3344,33441,334417,NULL,NULL,NULL,NULL,NULL,3678,NULL,1279576,NULL,422.2377714,13960,14976.79011,NULL,NULL,1,NULL,NULL,NULL,NULL
2018,75002KMTCN301RI,47058,110002052867,33.080556,-96.678611,0,14,-78,1373,FRS,2019,NULL,NULL,REACTION TECHNOLOGY EPI LLC,301 RIDGEMONT,ALLEN,COLLIN,TX,75002,75002,48085,48,NA,NA,LITTELFUSE INC,LITTELFUSE INC,6,C,NULL,TODD BOUNDS,9729788066,NULL,TBOUNDS@LITTELFUSE.COM,12.5,11.1,0.9,348.1,Fac Spec,Fac Spec,Fac Spec,Fac Spec,2014,2014,2014,2014,0.340000004,Default,NULL,334413,334,3344,33441,334413,NULL,NULL,NULL,NULL,NULL,3674,NULL,1292172,NULL,886.7077164,53914,13796.90941,NULL,NULL,1,NULL,NULL,NULL,NULL
2018,75005LLBRWBREWT,47059,110008157573,33.041903,-96.239399,0,14,-27,1368,FRS,2019,NULL,NULL,HIXSON LUMBER SALES INC,HWY 66 E,CADDO MILLS,HUNT,TX,75135,75135,48231,48,189962699,NA,HIXSON LUMBER SALES,HIXSON LUMBER SALES,6,C,NULL,DAVID  MCCASLAND,9035274010,NULL,DMCCASLAND@HLSCADDOMILLS.COM,9.4,8.1,0.8,388.7,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,321114,321,3211,32111,321114,NULL,NULL,NULL,NULL,NULL,2491,NULL,5253913,NULL,1585.318631,53914,36084.64396,NULL,1,1,1,NULL,NULL,NULL
2006,75006BSFCR1216T,47060,110012489271,32.956279,-96.860921,0,14,-99,1357,FRS,2019,NULL,NULL,BASF CORP,1216 TREND DR,CARROLLTON,DALLAS,TX,75006,75006,48113,48,160910493,71014385,BASF CORP,NULL,6,C,NULL,STEVEN A. ZOELLER,7133834511,NULL,NULL,15.2,7.7,0.6,338.4,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,325211,325,3252,32521,325211,NULL,NULL,NULL,NULL,NULL,2821,NULL,1279580,NULL,584.1443145,13960,12186.49277,NULL,NULL,1,NULL,NULL,NULL,NULL
2002,75006BTCNT3311B,47061,110005151584,32.96505,-96.8437,0,14,-97,1358,FRS,2019,NULL,NULL,BEAUTICONTROL COSMETICS INC,3311 BOYINGTON DR SUITE 400,CARROLLTON,DALLAS,TX,75006,75006,48113,48,57419814,43035870,TUPPERWARE CORP,NULL,6,C,NA,DAVID SPADONI,9724580601,2044,NULL,10.7,8.5,0.6,388.1,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,325411,325,3254,32541,325411,NULL,NULL,NULL,NULL,NULL,2844,NULL,1279580,NULL,542.1288035,13960,13144.21082,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1989,75006BTMTD2525C,47062,110001878157,32.98148,-96.91315,0,14,-105,1360,FRS,2019,NULL,NULL,BAE AUTOMATED SYSTEMS INC,2525 CARTER RD,CARROLLTON,DALLAS,TX,75006,75006,48113,48,77618437,NA,BTR INC,NULL,6,C,NULL,ERNEST RADFORD FIELD,2142459411,NULL,NULL,10,9.1,0.8,298.1,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.039999999,6DigitNAICS,NULL,332322,332,3323,33232,332322,NULL,NULL,NULL,NULL,NULL,3444,NULL,1279574,NULL,589.2957361,3927,14393.48467,NULL,NULL,1,NULL,NULL,NULL,NULL
2018,75006BWSMS1440H,47063,110042294530,32.94758,-96.91665,0,14,-105,1355,FRS,2019,NULL,NULL,HIXSON LUMBER SALES OF CARROLLTON INC,1440 HUTTON DR,CARROLLTON,DALLAS,TX,75006,75006,48113,48,189962699,189962699,HIXSON LUMBER SALES,HIXSON LUMBER SALES,6,C,NULL,HECTO MONTALVO,9724469000,NULL,HECTOR.HIXSON@VERIZON.NET,9.4,8.1,0.8,388.7,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,321114,321,3211,32111,321114,NULL,NULL,NULL,NULL,NULL,2491,NULL,1279586,NULL,254.9255392,3927,12079.86691,NULL,NULL,1,1,NULL,NULL,NULL
2018,75006CRGLL1915J,47064,110000455980,32.95858,-96.86418,0,14,-99,1357,FRS,2019,NULL,NULL,WMC INDUSTRIAL LLC,1915 JOHN CONNALLY DR,CARROLLTON,DALLAS,TX,75006,75006,48113,48,NA,81171564,WMC INDUSTRIAL LLC,WMC INDUSTRIAL LLC,6,C,NULL,WILBERT CARTER,2147071370,NULL,WILBERT.CARTER@WMC-US.COM,11,9.2,0.6,355.4,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,331222,331,3312,33122,331222,NULL,NULL,NULL,NULL,NULL,3315,NULL,1279580,NULL,399.9348801,13960,12467.9683,NULL,1,1,NULL,NULL,NULL,NULL
2007,75006FRNYC3405W,47065,110005032339,32.96046,-96.84117,0,14,-96,1357,FRS,2019,NULL,NULL,FORNEY CORP,3405 WILLEY POST RD,CARROLLTON,DALLAS,TX,75006,750065185,48113,48,4997383,1344142,UNITED TECHNOLOGIES CORP,NULL,6,C,NULL,RON ROUNSAVILLE,9724586100,NULL,RON.ROUNSAVILLE@FORNEYCORP.COM,9.6,8.2,0.6,296.8,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,333414,333,3334,33341,333414,NULL,NULL,NULL,NULL,NULL,3433,NULL,1279582,NULL,500.2530876,13960,12649.48158,NULL,1,1,NULL,NULL,NULL,NULL
